"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-01",99.48994,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-02",99.62787,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-03",99.65913,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-04",99.54351,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-05",99.37011,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-06",99.24468,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-07",99.23479,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-08",99.26688,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-09",99.23402,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-10",99.06171,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-11",98.83848,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2000-12",98.69478,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-01",98.73264,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-02",98.87589,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-03",99.02792,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-04",99.12418,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-05",99.17574,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-06",99.20574,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-07",99.23037,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-08",99.26151,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-09",99.31473,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-10",99.41071,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-11",99.55471,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2001-12",99.77097,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-01",100.0892,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-02",100.4587,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-03",100.8217,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-04",101.135,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-05",101.3985,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-06",101.6023,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-07",101.725,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-08",101.79,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-09",101.8083,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-10",101.779,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-11",101.7356,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2002-12",101.7108,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-01",101.714,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-02",101.6913,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-03",101.5548,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-04",101.238,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-05",100.8646,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-06",100.6091,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-07",100.6136,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-08",100.7866,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-09",101.0265,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-10",101.2774,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-11",101.5173,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2003-12",101.7354,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-01",101.9205,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-02",102.0714,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-03",102.1746,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-04",102.2169,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-05",102.2446,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-06",102.3215,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-07",102.5014,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-08",102.7511,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-09",103.0313,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-10",103.3077,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-11",103.5321,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2004-12",103.6264,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-01",103.5194,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-02",103.3135,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-03",103.1306,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-04",103.0569,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-05",103.0653,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-06",103.1217,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-07",103.2088,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-08",103.3027,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-09",103.3835,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-10",103.4392,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-11",103.4828,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2005-12",103.5289,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-01",103.5835,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-02",103.6296,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-03",103.6383,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-04",103.5881,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-05",103.521,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-06",103.4951,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-07",103.5538,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-08",103.6541,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-09",103.7378,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-10",103.7622,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-11",103.7469,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2006-12",103.7161,
