DATE,EXPGS
2000-01-01,1052.904
2000-04-01,1093.36
2000-07-01,1125.002
2000-10-01,1113.177
2001-01-01,1096.812
2001-04-01,1058.013
2001-07-01,998.902
2001-10-01,953.52
2002-01-01,969.157
2002-04-01,1004.154
2002-07-01,1015.56
2002-10-01,1003.046
2003-01-01,1004.201
2003-04-01,1007.465
2003-07-01,1037.31
2003-10-01,1091.682
2004-01-01,1133.669
2004-04-01,1170.152
2004-07-01,1180.185
2004-10-01,1221.444
2005-01-01,1258.408
2005-04-01,1294.853
2005-07-01,1302.315
2005-10-01,1350.743
2006-01-01,1413.966
2006-04-01,1459.767
2006-07-01,1475.417
2006-10-01,1531.531
2007-01-01,1577.991
2007-04-01,1622.764
2007-07-01,1685.71
2007-10-01,1750.714
2008-01-01,1813.321
2008-04-01,1905.282
2008-07-01,1922.215
2008-10-01,1700.304
2009-01-01,1511.768
2009-04-01,1521.093
2009-07-01,1594.725
2009-10-01,1703.508
2010-01-01,1759.877
2010-04-01,1819.741
2010-07-01,1877.253
2010-10-01,1972.116
2011-01-01,2040.407
2011-04-01,2116.132
2011-07-01,2156.793
2011-10-01,2150.123
2012-01-01,2189.981
2012-04-01,2215.586
2012-07-01,2227.734
2012-10-01,2237.498
2013-01-01,2255.065
2013-04-01,2260.438
2013-07-01,2284.231
2013-10-01,2348.191
2014-01-01,2342.408
2014-04-01,2394.081
2014-07-01,2398.083
2014-10-01,2375.061
2015-01-01,2297.44
2015-04-01,2298.719
2015-07-01,2258.386
2015-10-01,2220.057
2016-01-01,2179.216
2016-04-01,2218.949
2016-07-01,2265.416
2016-10-01,2264.857
2017-01-01,2339.728
2017-04-01,2349.681
2017-07-01,2384.524
2017-10-01,2479.107
2018-01-01,2518.052
2018-04-01,2564.081
2018-07-01,2535.975
2018-10-01,2534.247
2019-01-01,2542.674
2019-04-01,2549.568
2019-07-01,2533.321
2019-10-01,2528.239
2020-01-01,2412.658
2020-04-01,1817.45
2020-07-01,2106.559
2020-10-01,2257.796
2021-01-01,2369.133
2021-04-01,2503.089
2021-07-01,2553.333
2021-10-01,2733.037
2022-01-01,2811.225
2022-04-01,3038.844
2022-07-01,3064.971
2022-10-01,2988.332
2023-01-01,3025.966
