DATE,IMPGS
2000-01-01,1409.487
2000-04-01,1455.86
2000-07-01,1518.869
2000-10-01,1524.52
2001-01-01,1499.464
2001-04-01,1422.028
2001-07-01,1369.536
2001-10-01,1323.208
2002-01-01,1356.041
2002-04-01,1432.413
2002-07-01,1463.107
2002-10-01,1499.335
2003-01-01,1529.463
2003-04-01,1527.336
2003-07-01,1556.304
2003-10-01,1615.376
2004-01-01,1699.644
2004-04-01,1787.734
2004-07-01,1832.856
2004-10-01,1921.78
2005-01-01,1955.063
2005-04-01,2002.063
2005-07-01,2053.275
2005-10-01,2155.529
2006-01-01,2204.784
2006-04-01,2253.809
2006-07-01,2298.702
2006-10-01,2269.198
2007-01-01,2317.264
2007-04-01,2368.569
2007-07-01,2414.664
2007-10-01,2480.413
2008-01-01,2584.568
2008-04-01,2681.686
2008-07-01,2709.569
2008-10-01,2328.779
2009-01-01,1932.761
2009-04-01,1879.461
2009-07-01,2018.722
2009-10-01,2176.763
2010-01-01,2269.069
2010-04-01,2362.255
2010-07-01,2431.195
2010-10-01,2495.702
2011-01-01,2608.884
2011-04-01,2697.224
2011-07-01,2723.903
2011-10-01,2751.911
2012-01-01,2792.253
2012-04-01,2780.827
2012-07-01,2750.817
2012-10-01,2753.373
2013-01-01,2755.277
2013-04-01,2759.783
2013-07-01,2767.183
2013-10-01,2783.259
2014-01-01,2853.69
2014-04-01,2900.572
2014-07-01,2888.549
2014-10-01,2906.969
2015-01-01,2824.356
2015-04-01,2807.521
2015-07-01,2801.398
2015-10-01,2746.123
2016-01-01,2693.609
2016-04-01,2710.632
2016-07-01,2750.495
2016-10-01,2798.701
2017-01-01,2872.685
2017-04-01,2903.468
2017-07-01,2902.948
2017-10-01,3020.875
2018-01-01,3094.479
2018-04-01,3107.441
2018-07-01,3154.175
2018-10-01,3168.569
2019-01-01,3142.585
2019-04-01,3165.27
2019-07-01,3118.162
2019-10-01,3042.922
2020-01-01,2935.383
2020-04-01,2343.723
2020-07-01,2798.97
2020-10-01,3026.384
2021-01-01,3177.739
2021-04-01,3337.485
2021-07-01,3442.476
2021-10-01,3647.745
2022-01-01,3927.908
2022-04-01,4074.409
2022-07-01,3955.795
2022-10-01,3845.4
2023-01-01,3870.338
