DATE,WPU01
2000-01-01,95.9
2000-02-01,97.5
2000-03-01,100.6
2000-04-01,101.6
2000-05-01,103.7
2000-06-01,100.1
2000-07-01,97.3
2000-08-01,94.6
2000-09-01,98.0
2000-10-01,100.3
2000-11-01,101.5
2000-12-01,103.4
2001-01-01,104.5
2001-02-01,103.6
2001-03-01,107.3
2001-04-01,106.0
2001-05-01,106.8
2001-06-01,105.9
2001-07-01,105.0
2001-08-01,105.5
2001-09-01,105.3
2001-10-01,101.2
2001-11-01,97.3
2001-12-01,96.6
2002-01-01,99.9
2002-02-01,101.8
2002-03-01,104.4
2002-04-01,94.3
2002-05-01,96.6
2002-06-01,96.2
2002-07-01,97.9
2002-08-01,99.7
2002-09-01,99.8
2002-10-01,99.1
2002-11-01,99.1
2002-12-01,99.1
2003-01-01,104.1
2003-02-01,104.6
2003-03-01,104.0
2003-04-01,105.6
2003-05-01,109.2
2003-06-01,107.3
2003-07-01,105.5
2003-08-01,109.0
2003-09-01,116.1
2003-10-01,124.4
2003-11-01,123.7
2003-12-01,124.3
2004-01-01,117.4
2004-02-01,120.4
2004-03-01,129.1
2004-04-01,129.6
2004-05-01,135.1
2004-06-01,129.7
2004-07-01,124.4
2004-08-01,119.0
2004-09-01,118.7
2004-10-01,119.2
2004-11-01,118.0
2004-12-01,118.4
2005-01-01,118.8
2005-02-01,117.6
2005-03-01,123.0
2005-04-01,120.7
2005-05-01,121.5
2005-06-01,118.3
2005-07-01,116.3
2005-08-01,114.5
2005-09-01,116.8
2005-10-01,115.7
2005-11-01,117.5
2005-12-01,121.1
2006-01-01,117.4
2006-02-01,111.9
2006-03-01,111.0
2006-04-01,111.3
2006-05-01,109.8
2006-06-01,113.8
2006-07-01,115.5
2006-08-01,118.5
2006-09-01,120.3
2006-10-01,123.2
2006-11-01,124.5
2006-12-01,127.0
2007-01-01,127.1
2007-02-01,137.5
2007-03-01,140.6
2007-04-01,141.3
2007-05-01,142.7
2007-06-01,141.8
2007-07-01,143.4
2007-08-01,140.4
2007-09-01,146.8
2007-10-01,148.2
2007-11-01,151.0
2007-12-01,159.6
2008-01-01,164.2
2008-02-01,164.4
2008-03-01,169.6
2008-04-01,166.7
2008-05-01,169.7
2008-06-01,176.2
2008-07-01,174.3
2008-08-01,164.7
2008-09-01,163.5
2008-10-01,145.3
2008-11-01,143.1
2008-12-01,133.9
2009-01-01,136.4
2009-02-01,132.8
2009-03-01,130.6
2009-04-01,136.8
2009-05-01,137.8
2009-06-01,142.1
2009-07-01,131.6
2009-08-01,130.1
2009-09-01,126.8
2009-10-01,133.2
2009-11-01,135.5
2009-12-01,141.5
2010-01-01,142.5
2010-02-01,142.3
2010-03-01,150.3
2010-04-01,149.1
2010-05-01,150.0
2010-06-01,141.6
2010-07-01,146.8
2010-08-01,148.4
2010-09-01,154.1
2010-10-01,157.4
2010-11-01,162.1
2010-12-01,166.8
2011-01-01,173.3
2011-02-01,189.8
2011-03-01,185.1
2011-04-01,191.1
2011-05-01,186.0
2011-06-01,192.6
2011-07-01,188.4
2011-08-01,192.2
2011-09-01,190.3
2011-10-01,183.5
2011-11-01,186.7
2011-12-01,181.3
2012-01-01,184.7
2012-02-01,185.7
2012-03-01,191.1
2012-04-01,187.0
2012-05-01,185.1
2012-06-01,184.7
2012-07-01,193.9
2012-08-01,199.4
2012-09-01,200.2
2012-10-01,198.2
2012-11-01,199.8
2012-12-01,200.0
2013-01-01,202.7
2013-02-01,197.5
2013-03-01,203.8
2013-04-01,196.1
2013-05-01,203.0
2013-06-01,203.1
2013-07-01,200.7
2013-08-01,191.4
2013-09-01,188.0
2013-10-01,186.3
2013-11-01,186.0
2013-12-01,184.8
2014-01-01,188.6
2014-02-01,191.5
2014-03-01,204.1
2014-04-01,211.0
2014-05-01,208.8
2014-06-01,205.5
2014-07-01,199.3
2014-08-01,191.3
2014-09-01,193.1
2014-10-01,191.5
2014-11-01,196.1
2014-12-01,187.9
2015-01-01,180.7
2015-02-01,173.2
2015-03-01,175.5
2015-04-01,175.8
2015-05-01,179.0
2015-06-01,181.6
2015-07-01,178.9
2015-08-01,178.2
2015-09-01,170.7
2015-10-01,167.1
2015-11-01,164.4
2015-12-01,160.4
2016-01-01,166.5
2016-02-01,163.6
2016-03-01,161.9
2016-04-01,158.9
2016-05-01,162.7
2016-06-01,166.7
2016-07-01,160.8
2016-08-01,152.9
2016-09-01,149.2
2016-10-01,140.7
2016-11-01,147.6
2016-12-01,153.1
2017-01-01,156.1
2017-02-01,160.3
2017-03-01,162.8
2017-04-01,165.5
2017-05-01,167.3
2017-06-01,167.6
2017-07-01,169.4
2017-08-01,158.2
2017-09-01,156.1
2017-10-01,156.3
2017-11-01,161.6
2017-12-01,160.5
2018-01-01,160.6
2018-02-01,162.3
2018-03-01,169.1
2018-04-01,163.7
2018-05-01,167.9
2018-06-01,166.2
2018-07-01,161.0
2018-08-01,152.7
2018-09-01,149.7
2018-10-01,153.4
2018-11-01,158.0
2018-12-01,165.9
2019-01-01,161.7
2019-02-01,160.6
2019-03-01,160.4
2019-04-01,162.9
2019-05-01,161.5
2019-06-01,165.8
2019-07-01,164.2
2019-08-01,156.8
2019-09-01,151.5
2019-10-01,161.1
2019-11-01,165.6
2019-12-01,166.3
2020-01-01,169.5
2020-02-01,160.8
2020-03-01,157.5
2020-04-01,140.4
2020-05-01,148.8
2020-06-01,151.4
2020-07-01,151.4
2020-08-01,149.0
2020-09-01,157.0
2020-10-01,169.9
2020-11-01,173.0
2020-12-01,166.3
2021-01-01,178.8
2021-02-01,182.5
2021-03-01,184.3
2021-04-01,192.8
2021-05-01,211.7
2021-06-01,207.0
2021-07-01,201.463
2021-08-01,202.896
2021-09-01,197.868
2021-10-01,197.416
2021-11-01,206.125
2021-12-01,213.525
2022-01-01,220.224
2022-02-01,230.899
2022-03-01,250.299
2022-04-01,261.884
2022-05-01,263.817
2022-06-01,261.408
2022-07-01,254.119
2022-08-01,246.943
2022-09-01,247.386
2022-10-01,249.274
2022-11-01,261.427
2022-12-01,260.716
2023-01-01,246.354
2023-02-01,242.261
2023-03-01,241.626
2023-04-01,245.743
