DATE,WPU02
2000-01-01,131.0
2000-02-01,131.7
2000-03-01,132.1
2000-04-01,133.2
2000-05-01,134.3
2000-06-01,134.2
2000-07-01,134.1
2000-08-01,133.2
2000-09-01,132.9
2000-10-01,133.1
2000-11-01,133.1
2000-12-01,134.1
2001-01-01,134.8
2001-02-01,135.6
2001-03-01,136.3
2001-04-01,137.1
2001-05-01,137.8
2001-06-01,138.0
2001-07-01,138.5
2001-08-01,139.5
2001-09-01,139.3
2001-10-01,138.5
2001-11-01,136.7
2001-12-01,135.8
2002-01-01,135.7
2002-02-01,136.5
2002-03-01,136.4
2002-04-01,135.8
2002-05-01,135.3
2002-06-01,135.6
2002-07-01,136.2
2002-08-01,136.0
2002-09-01,136.3
2002-10-01,136.4
2002-11-01,136.5
2002-12-01,137.5
2003-01-01,139.2
2003-02-01,139.9
2003-03-01,140.1
2003-04-01,140.7
2003-05-01,141.4
2003-06-01,143.2
2003-07-01,142.7
2003-08-01,143.6
2003-09-01,145.2
2003-10-01,148.5
2003-11-01,148.2
2003-12-01,147.5
2004-01-01,146.4
2004-02-01,147.3
2004-03-01,149.4
2004-04-01,153.3
2004-05-01,156.1
2004-06-01,155.8
2004-07-01,153.3
2004-08-01,151.4
2004-09-01,150.4
2004-10-01,150.3
2004-11-01,150.1
2004-12-01,151.1
2005-01-01,151.8
2005-02-01,152.3
2005-03-01,153.4
2005-04-01,153.3
2005-05-01,154.3
2005-06-01,153.2
2005-07-01,153.0
2005-08-01,152.7
2005-09-01,153.1
2005-10-01,153.9
2005-11-01,153.2
2005-12-01,153.5
2006-01-01,153.6
2006-02-01,152.6
2006-03-01,152.6
2006-04-01,152.2
2006-05-01,152.5
2006-06-01,153.8
2006-07-01,154.4
2006-08-01,153.7
2006-09-01,154.6
2006-10-01,154.3
2006-11-01,155.5
2006-12-01,156.2
2007-01-01,158.2
2007-02-01,160.6
2007-03-01,162.4
2007-04-01,163.4
2007-05-01,164.8
2007-06-01,166.2
2007-07-01,166.2
2007-08-01,166.6
2007-09-01,167.5
2007-10-01,167.5
2007-11-01,168.0
2007-12-01,169.4
2008-01-01,172.7
2008-02-01,174.6
2008-03-01,176.9
2008-04-01,177.8
2008-05-01,180.8
2008-06-01,182.4
2008-07-01,187.0
2008-08-01,187.3
2008-09-01,185.9
2008-10-01,182.5
2008-11-01,180.0
2008-12-01,177.7
2009-01-01,176.8
2009-02-01,175.5
2009-03-01,174.4
2009-04-01,175.5
2009-05-01,177.4
2009-06-01,177.9
2009-07-01,176.2
2009-08-01,175.9
2009-09-01,175.8
2009-10-01,175.3
2009-11-01,176.0
2009-12-01,177.9
2010-01-01,178.9
2010-02-01,179.3
2010-03-01,179.5
2010-04-01,180.4
2010-05-01,182.8
2010-06-01,181.1
2010-07-01,181.2
2010-08-01,181.8
2010-09-01,183.9
2010-10-01,185.3
2010-11-01,186.4
2010-12-01,186.6
2011-01-01,187.9
2011-02-01,191.3
2011-03-01,194.5
2011-04-01,197.1
2011-05-01,197.3
2011-06-01,197.8
2011-07-01,199.4
2011-08-01,201.6
2011-09-01,202.4
2011-10-01,200.3
2011-11-01,200.6
2011-12-01,200.0
2012-01-01,200.7
2012-02-01,200.9
2012-03-01,201.6
2012-04-01,202.3
2012-05-01,202.8
2012-06-01,203.7
2012-07-01,205.0
2012-08-01,207.8
2012-09-01,209.3
2012-10-01,209.6
2012-11-01,209.8
2012-12-01,208.8
2013-01-01,207.5
2013-02-01,207.6
2013-03-01,208.0
2013-04-01,207.1
2013-05-01,208.7
2013-06-01,209.4
2013-07-01,210.6
2013-08-01,208.8
2013-09-01,209.4
2013-10-01,208.1
2013-11-01,207.2
2013-12-01,207.6
2014-01-01,209.3
2014-02-01,210.1
2014-03-01,212.9
2014-04-01,218.2
2014-05-01,217.8
2014-06-01,218.7
2014-07-01,219.9
2014-08-01,219.8
2014-09-01,220.2
2014-10-01,218.6
2014-11-01,217.0
2014-12-01,215.3
2015-01-01,213.0
2015-02-01,210.3
2015-03-01,209.2
2015-04-01,208.4
2015-05-01,210.5
2015-06-01,211.6
2015-07-01,211.0
2015-08-01,210.9
2015-09-01,209.0
2015-10-01,207.3
2015-11-01,205.5
2015-12-01,202.3
2016-01-01,201.9
2016-02-01,202.9
2016-03-01,202.7
2016-04-01,203.4
2016-05-01,204.4
2016-06-01,206.2
2016-07-01,205.8
2016-08-01,204.4
2016-09-01,204.3
2016-10-01,202.5
2016-11-01,200.9
2016-12-01,202.3
2017-01-01,202.6
2017-02-01,203.2
2017-03-01,204.7
2017-04-01,205.1
2017-05-01,206.4
2017-06-01,208.8
2017-07-01,207.7
2017-08-01,207.5
2017-09-01,205.8
2017-10-01,205.1
2017-11-01,204.3
2017-12-01,203.9
2018-01-01,204.5
2018-02-01,205.1
2018-03-01,207.4
2018-04-01,207.7
2018-05-01,208.6
2018-06-01,207.8
2018-07-01,206.5
2018-08-01,205.5
2018-09-01,204.9
2018-10-01,205.2
2018-11-01,204.8
2018-12-01,205.6
2019-01-01,206.2
2019-02-01,206.7
2019-03-01,207.5
2019-04-01,209.1
2019-05-01,209.6
2019-06-01,209.7
2019-07-01,209.5
2019-08-01,209.5
2019-09-01,209.9
2019-10-01,209.7
2019-11-01,211.1
2019-12-01,211.1
2020-01-01,210.7
2020-02-01,209.4
2020-03-01,209.3
2020-04-01,210.0
2020-05-01,224.1
2020-06-01,212.7
2020-07-01,210.2
2020-08-01,209.6
2020-09-01,210.0
2020-10-01,211.8
2020-11-01,213.8
2020-12-01,212.8
2021-01-01,213.4
2021-02-01,217.1
