DATE,WPU04
2000-01-01,149.0
2000-02-01,148.9
2000-03-01,148.4
2000-04-01,149.2
2000-05-01,149.7
2000-06-01,149.6
2000-07-01,151.0
2000-08-01,152.3
2000-09-01,153.3
2000-10-01,155.0
2000-11-01,155.0
2000-12-01,156.2
2001-01-01,156.7
2001-02-01,157.9
2001-03-01,159.5
2001-04-01,163.9
2001-05-01,166.0
2001-06-01,163.4
2001-07-01,160.8
2001-08-01,156.1
2001-09-01,155.9
2001-10-01,153.8
2001-11-01,154.2
2001-12-01,152.4
2002-01-01,152.4
2002-02-01,152.5
2002-03-01,154.3
2002-04-01,154.4
2002-05-01,156.5
2002-06-01,158.0
2002-07-01,158.5
2002-08-01,160.4
2002-09-01,161.0
2002-10-01,160.9
2002-11-01,160.9
2002-12-01,161.0
2003-01-01,160.8
2003-02-01,162.2
2003-03-01,162.3
2003-04-01,162.8
2003-05-01,161.0
2003-06-01,160.8
2003-07-01,160.8
2003-08-01,161.9
2003-09-01,162.9
2003-10-01,163.7
2003-11-01,163.6
2003-12-01,164.2
2004-01-01,165.4
2004-02-01,165.1
2004-03-01,164.8
2004-04-01,163.1
2004-05-01,162.8
2004-06-01,163.2
2004-07-01,165.0
2004-08-01,165.0
2004-09-01,165.0
2004-10-01,164.9
2004-11-01,165.0
2004-12-01,165.1
2005-01-01,165.3
2005-02-01,165.5
2005-03-01,165.6
2005-04-01,164.8
2005-05-01,164.8
2005-06-01,165.7
2005-07-01,165.8
2005-08-01,165.6
2005-09-01,165.3
2005-10-01,165.3
2005-11-01,165.4
2005-12-01,165.0
2006-01-01,164.9
2006-02-01,165.6
2006-03-01,166.6
2006-04-01,167.8
2006-05-01,168.3
2006-06-01,168.8
2006-07-01,169.0
2006-08-01,169.1
2006-09-01,169.0
2006-10-01,169.8
2006-11-01,170.2
2006-12-01,171.2
2007-01-01,173.6
2007-02-01,174.1
2007-03-01,174.9
2007-04-01,176.0
2007-05-01,175.6
2007-06-01,174.7
2007-07-01,171.6
2007-08-01,172.6
2007-09-01,172.4
2007-10-01,172.3
2007-11-01,172.4
2007-12-01,172.6
2008-01-01,172.2
2008-02-01,172.5
2008-03-01,172.5
2008-04-01,172.9
2008-05-01,172.9
2008-06-01,174.8
2008-07-01,175.0
2008-08-01,174.9
2008-09-01,175.2
2008-10-01,175.1
2008-11-01,169.6
2008-12-01,168.9
2009-01-01,157.0
2009-02-01,157.0
2009-03-01,157.9
2009-04-01,153.6
2009-05-01,153.8
2009-06-01,151.9
2009-07-01,153.1
2009-08-01,155.2
2009-09-01,158.9
2009-10-01,162.0
2009-11-01,160.4
2009-12-01,163.4
2010-01-01,165.9
2010-02-01,173.3
2010-03-01,176.1
2010-04-01,176.3
2010-05-01,182.7
2010-06-01,182.9
2010-07-01,184.2
2010-08-01,185.1
2010-09-01,184.9
2010-10-01,187.6
2010-11-01,187.8
2010-12-01,189.6
2011-01-01,192.8
2011-02-01,196.3
2011-03-01,198.3
2011-04-01,202.9
2011-05-01,203.6
2011-06-01,203.0
2011-07-01,203.4
2011-08-01,202.9
2011-09-01,203.5
2011-10-01,200.8
2011-11-01,196.6
2011-12-01,195.0
2012-01-01,194.7
2012-02-01,192.7
2012-03-01,201.9
2012-04-01,203.4
2012-05-01,204.8
2012-06-01,203.6
2012-07-01,202.9
2012-08-01,202.3
2012-09-01,203.2
2012-10-01,203.9
2012-11-01,205.4
2012-12-01,208.4
2013-01-01,211.6
2013-02-01,213.9
2013-03-01,216.0
2013-04-01,217.4
2013-05-01,219.9
2013-06-01,221.2
2013-07-01,220.1
2013-08-01,221.0
2013-09-01,218.3
2013-10-01,216.7
2013-11-01,217.7
2013-12-01,220.3
2014-01-01,221.2
2014-02-01,220.9
2014-03-01,227.0
2014-04-01,231.0
2014-05-01,232.2
2014-06-01,229.6
2014-07-01,229.7
2014-08-01,229.7
2014-09-01,233.2
2014-10-01,232.5
2014-11-01,232.7
2014-12-01,230.1
2015-01-01,227.9
2015-02-01,225.1
2015-03-01,225.3
2015-04-01,223.3
2015-05-01,215.4
2015-06-01,213.9
2015-07-01,205.6
2015-08-01,199.2
2015-09-01,200.7
2015-10-01,198.8
2015-11-01,196.3
2015-12-01,193.2
2016-01-01,199.6
2016-02-01,196.4
2016-03-01,193.6
2016-04-01,194.3
2016-05-01,194.4
2016-06-01,195.3
2016-07-01,197.2
2016-08-01,194.8
2016-09-01,194.1
2016-10-01,193.0
2016-11-01,194.3
2016-12-01,194.8
2017-01-01,195.5
2017-02-01,195.7
2017-03-01,197.8
2017-04-01,197.7
2017-05-01,196.3
2017-06-01,194.7
2017-07-01,192.0
2017-08-01,188.2
2017-09-01,187.0
2017-10-01,186.0
