DATE,WPU06
2000-01-01,147.7
2000-02-01,148.9
2000-03-01,149.9
2000-04-01,150.7
2000-05-01,151.3
2000-06-01,151.7
2000-07-01,152.6
2000-08-01,152.0
2000-09-01,151.9
2000-10-01,151.9
2000-11-01,151.3
2000-12-01,151.7
2001-01-01,153.9
2001-02-01,155.2
2001-03-01,155.4
2001-04-01,154.8
2001-05-01,153.7
2001-06-01,153.2
2001-07-01,151.2
2001-08-01,149.9
2001-09-01,150.1
2001-10-01,149.1
2001-11-01,148.4
2001-12-01,147.1
2002-01-01,147.1
2002-02-01,147.3
2002-03-01,148.8
2002-04-01,150.5
2002-05-01,150.6
2002-06-01,151.3
2002-07-01,152.9
2002-08-01,153.6
2002-09-01,154.1
2002-10-01,155.3
2002-11-01,155.6
2002-12-01,155.1
2003-01-01,158.0
2003-02-01,162.2
2003-03-01,164.5
2003-04-01,162.2
2003-05-01,162.1
2003-06-01,162.2
2003-07-01,160.9
2003-08-01,161.2
2003-09-01,161.4
2003-10-01,162.1
2003-11-01,162.1
2003-12-01,163.1
2004-01-01,166.6
2004-02-01,167.5
2004-03-01,168.0
2004-04-01,170.1
2004-05-01,170.9
2004-06-01,172.2
2004-07-01,173.7
2004-08-01,176.5
2004-09-01,179.4
2004-10-01,181.0
2004-11-01,183.0
2004-12-01,183.9
2005-01-01,185.5
2005-02-01,186.4
2005-03-01,188.9
2005-04-01,189.0
2005-05-01,188.4
2005-06-01,187.2
2005-07-01,189.3
2005-08-01,189.9
2005-09-01,194.9
2005-10-01,202.3
2005-11-01,201.4
2005-12-01,201.3
2006-01-01,203.7
2006-02-01,203.4
2006-03-01,203.4
2006-04-01,203.1
2006-05-01,205.7
2006-06-01,207.9
2006-07-01,208.3
2006-08-01,209.8
2006-09-01,207.6
2006-10-01,206.9
2006-11-01,204.5
2006-12-01,205.3
2007-01-01,206.0
2007-02-01,206.7
2007-03-01,208.8
2007-04-01,210.7
2007-05-01,213.7
2007-06-01,215.0
2007-07-01,217.1
2007-08-01,215.0
2007-09-01,216.7
2007-10-01,218.9
2007-11-01,224.5
2007-12-01,224.7
2008-01-01,229.2
2008-02-01,231.3
2008-03-01,235.6
2008-04-01,240.4
2008-05-01,246.5
2008-06-01,252.7
2008-07-01,262.8
2008-08-01,263.3
2008-09-01,264.2
2008-10-01,252.5
2008-11-01,239.3
2008-12-01,227.6
2009-01-01,226.8
2009-02-01,226.5
2009-03-01,225.8
2009-04-01,225.2
2009-05-01,225.8
2009-06-01,227.8
2009-07-01,230.0
2009-08-01,231.1
2009-09-01,232.0
2009-10-01,231.7
2009-11-01,233.3
2009-12-01,236.7
2010-01-01,239.9
2010-02-01,244.2
2010-03-01,246.1
2010-04-01,248.9
2010-05-01,246.9
2010-06-01,244.1
2010-07-01,243.3
2010-08-01,244.3
2010-09-01,245.8
2010-10-01,248.8
2010-11-01,252.1
2010-12-01,254.7
2011-01-01,262.2
2011-02-01,267.3
2011-03-01,270.3
2011-04-01,276.4
2011-05-01,280.6
2011-06-01,279.7
2011-07-01,280.5
2011-08-01,280.1
2011-09-01,280.9
2011-10-01,277.2
2011-11-01,274.9
2011-12-01,271.1
2012-01-01,275.3
2012-02-01,278.1
2012-03-01,283.0
2012-04-01,283.9
2012-05-01,281.5
2012-06-01,273.9
2012-07-01,273.0
2012-08-01,273.6
2012-09-01,274.6
2012-10-01,275.1
2012-11-01,273.5
2012-12-01,273.7
2013-01-01,279.2
2013-02-01,283.8
2013-03-01,282.4
2013-04-01,280.5
2013-05-01,280.6
2013-06-01,280.8
2013-07-01,279.8
2013-08-01,279.0
2013-09-01,277.6
2013-10-01,276.2
2013-11-01,274.6
2013-12-01,276.0
2014-01-01,280.5
2014-02-01,282.2
2014-03-01,280.8
2014-04-01,282.5
2014-05-01,280.9
2014-06-01,281.4
2014-07-01,283.5
2014-08-01,284.1
2014-09-01,283.2
2014-10-01,281.2
2014-11-01,277.3
2014-12-01,273.3
2015-01-01,266.7
2015-02-01,266.3
2015-03-01,265.7
