DATE,WPU07
2000-01-01,123.8
2000-02-01,123.7
2000-03-01,123.9
2000-04-01,124.3
2000-05-01,124.4
2000-06-01,125.2
2000-07-01,125.8
2000-08-01,125.7
2000-09-01,126.4
2000-10-01,126.4
2000-11-01,127.9
2000-12-01,128.0
2001-01-01,127.5
2001-02-01,127.1
2001-03-01,127.5
2001-04-01,127.6
2001-05-01,127.9
2001-06-01,127.7
2001-07-01,127.5
2001-08-01,127.1
2001-09-01,126.8
2001-10-01,126.6
2001-11-01,126.7
2001-12-01,126.4
2002-01-01,126.4
2002-02-01,125.8
2002-03-01,126.0
2002-04-01,126.2
2002-05-01,126.6
2002-06-01,127.1
2002-07-01,126.7
2002-08-01,127.1
2002-09-01,127.8
2002-10-01,127.8
2002-11-01,127.3
2002-12-01,127.3
2003-01-01,127.8
2003-02-01,128.7
2003-03-01,129.9
2003-04-01,130.9
2003-05-01,131.0
2003-06-01,130.5
2003-07-01,130.4
2003-08-01,130.5
2003-09-01,130.4
2003-10-01,130.5
2003-11-01,130.4
2003-12-01,130.7
2004-01-01,130.8
2004-02-01,131.4
2004-03-01,131.6
2004-04-01,132.0
2004-05-01,132.4
2004-06-01,132.9
2004-07-01,133.4
2004-08-01,133.9
2004-09-01,135.1
2004-10-01,136.5
2004-11-01,137.3
2004-12-01,138.3
2005-01-01,139.7
2005-02-01,140.6
2005-03-01,141.2
2005-04-01,141.7
2005-05-01,141.9
2005-06-01,142.4
2005-07-01,142.4
2005-08-01,142.4
2005-09-01,143.7
2005-10-01,146.8
2005-11-01,151.0
2005-12-01,151.9
2006-01-01,153.0
2006-02-01,153.2
2006-03-01,153.0
2006-04-01,153.1
2006-05-01,153.2
2006-06-01,153.1
2006-07-01,153.8
2006-08-01,154.1
2006-09-01,154.3
2006-10-01,155.0
2006-11-01,154.9
2006-12-01,154.7
2007-01-01,154.2
2007-02-01,154.0
2007-03-01,153.8
2007-04-01,153.9
2007-05-01,154.2
2007-06-01,154.4
2007-07-01,154.8
2007-08-01,155.7
2007-09-01,155.6
2007-10-01,156.0
2007-11-01,156.5
2007-12-01,157.5
2008-01-01,159.2
2008-02-01,159.9
2008-03-01,160.6
2008-04-01,161.3
2008-05-01,162.8
