DATE,WPU08
2000-01-01,183.8
2000-02-01,184.0
2000-03-01,184.2
2000-04-01,183.0
2000-05-01,179.3
2000-06-01,178.6
2000-07-01,177.0
2000-08-01,174.4
2000-09-01,174.1
2000-10-01,173.9
2000-11-01,173.2
2000-12-01,172.7
2001-01-01,171.6
2001-02-01,171.5
2001-03-01,172.8
2001-04-01,172.9
2001-05-01,179.0
2001-06-01,180.7
2001-07-01,176.7
2001-08-01,176.8
2001-09-01,176.0
2001-10-01,172.3
2001-11-01,171.5
2001-12-01,170.6
2002-01-01,171.7
2002-02-01,173.0
2002-03-01,175.3
2002-04-01,175.6
2002-05-01,174.4
2002-06-01,173.3
2002-07-01,173.3
2002-08-01,173.8
2002-09-01,173.0
2002-10-01,172.3
2002-11-01,171.8
2002-12-01,171.8
2003-01-01,171.7
2003-02-01,173.2
2003-03-01,172.6
2003-04-01,172.9
2003-05-01,173.1
2003-06-01,173.8
2003-07-01,176.9
2003-08-01,177.8
2003-09-01,184.0
2003-10-01,184.1
2003-11-01,184.4
2003-12-01,183.9
2004-01-01,183.3
2004-02-01,189.0
2004-03-01,194.1
2004-04-01,197.7
2004-05-01,201.6
2004-06-01,198.4
2004-07-01,196.5
2004-08-01,202.1
2004-09-01,202.5
2004-10-01,196.7
2004-11-01,191.9
2004-12-01,193.0
2005-01-01,194.6
2005-02-01,198.2
2005-03-01,198.6
2005-04-01,198.3
2005-05-01,195.2
2005-06-01,197.6
2005-07-01,196.0
2005-08-01,194.1
2005-09-01,197.4
2005-10-01,198.0
2005-11-01,194.1
2005-12-01,195.2
2006-01-01,197.5
2006-02-01,198.4
2006-03-01,198.6
2006-04-01,198.3
2006-05-01,198.6
2006-06-01,195.4
2006-07-01,193.9
2006-08-01,191.4
2006-09-01,191.8
2006-10-01,188.7
2006-11-01,189.4
2006-12-01,190.3
2007-01-01,192.1
2007-02-01,192.7
2007-03-01,193.3
2007-04-01,193.3
2007-05-01,193.1
2007-06-01,193.7
2007-07-01,194.4
2007-08-01,193.2
2007-09-01,192.3
