DATE,WPU09
2000-01-01,179.3
2000-02-01,180.0
2000-03-01,181.7
2000-04-01,183.8
2000-05-01,184.9
2000-06-01,185.5
2000-07-01,185.1
2000-08-01,184.5
2000-09-01,184.4
2000-10-01,185.1
2000-11-01,185.0
2000-12-01,184.8
2001-01-01,185.4
2001-02-01,185.3
2001-03-01,185.5
2001-04-01,185.6
2001-05-01,185.3
2001-06-01,185.0
2001-07-01,184.8
2001-08-01,184.2
2001-09-01,184.2
2001-10-01,183.9
2001-11-01,183.9
2001-12-01,184.2
2002-01-01,184.7
2002-02-01,184.4
2002-03-01,184.4
2002-04-01,184.9
2002-05-01,184.9
2002-06-01,185.6
2002-07-01,186.2
2002-08-01,186.6
2002-09-01,186.8
2002-10-01,187.2
2002-11-01,187.5
2002-12-01,187.4
2003-01-01,188.5
2003-02-01,188.8
2003-03-01,189.1
2003-04-01,189.6
2003-05-01,189.9
2003-06-01,190.2
2003-07-01,190.3
2003-08-01,190.4
2003-09-01,190.6
2003-10-01,190.8
2003-11-01,191.1
2003-12-01,190.9
2004-01-01,191.2
2004-02-01,192.2
2004-03-01,192.9
2004-04-01,193.9
2004-05-01,194.7
2004-06-01,195.4
2004-07-01,196.2
2004-08-01,197.3
2004-09-01,198.4
2004-10-01,198.3
2004-11-01,198.7
2004-12-01,199.1
2005-01-01,200.8
2005-02-01,201.5
2005-03-01,202.1
2005-04-01,202.1
2005-05-01,202.2
2005-06-01,202.6
2005-07-01,202.6
2005-08-01,202.3
2005-09-01,202.9
2005-10-01,203.5
2005-11-01,203.8
2005-12-01,204.3
2006-01-01,205.4
2006-02-01,206.8
2006-03-01,207.5
2006-04-01,207.8
2006-05-01,209.2
2006-06-01,210.1
2006-07-01,210.8
2006-08-01,211.3
2006-09-01,211.8
2006-10-01,212.0
2006-11-01,212.2
2006-12-01,212.2
2007-01-01,213.5
2007-02-01,214.0
2007-03-01,215.1
2007-04-01,215.1
2007-05-01,215.8
2007-06-01,216.1
2007-07-01,217.2
2007-08-01,217.6
2007-09-01,218.2
2007-10-01,219.5
2007-11-01,220.1
2007-12-01,220.2
2008-01-01,222.3
2008-02-01,223.4
2008-03-01,224.0
2008-04-01,224.9
2008-05-01,225.2
2008-06-01,225.7
2008-07-01,227.0
2008-08-01,229.6
2008-09-01,231.1
2008-10-01,230.9
2008-11-01,228.8
2008-12-01,228.0
2009-01-01,228.0
2009-02-01,227.0
2009-03-01,226.7
2009-04-01,225.8
2009-05-01,224.8
2009-06-01,224.5
2009-07-01,224.0
2009-08-01,224.4
2009-09-01,224.9
2009-10-01,224.9
2009-11-01,225.7
2009-12-01,226.2
2010-01-01,227.2
2010-02-01,229.7
2010-03-01,233.1
2010-04-01,234.6
2010-05-01,237.3
2010-06-01,237.5
2010-07-01,238.7
2010-08-01,238.5
2010-09-01,240.3
2010-10-01,241.1
2010-11-01,242.2
2010-12-01,242.8
2011-01-01,243.0
2011-02-01,243.2
2011-03-01,244.3
2011-04-01,245.0
2011-05-01,245.6
2011-06-01,246.2
2011-07-01,247.1
2011-08-01,247.2
2011-09-01,247.5
2011-10-01,246.2
2011-11-01,243.2
2011-12-01,242.9
2012-01-01,242.7
2012-02-01,243.8
2012-03-01,244.3
2012-04-01,244.2
2012-05-01,244.3
2012-06-01,244.2
2012-07-01,243.7
2012-08-01,243.4
2012-09-01,243.4
2012-10-01,243.8
2012-11-01,246.2
2012-12-01,246.4
2013-01-01,246.7
2013-02-01,247.0
2013-03-01,247.4
2013-04-01,247.5
2013-05-01,247.6
2013-06-01,248.6
2013-07-01,248.7
2013-08-01,249.5
2013-09-01,249.7
2013-10-01,250.7
2013-11-01,251.0
2013-12-01,250.6
2014-01-01,249.6
2014-02-01,250.3
2014-03-01,250.8
2014-04-01,250.9
2014-05-01,251.3
2014-06-01,251.0
2014-07-01,250.9
2014-08-01,250.6
2014-09-01,250.5
2014-10-01,249.9
2014-11-01,250.4
2014-12-01,250.3
