DATE,WPU10
2000-01-01,128.3
2000-02-01,128.8
2000-03-01,128.7
2000-04-01,128.6
2000-05-01,128.2
2000-06-01,127.9
2000-07-01,128.0
2000-08-01,128.0
2000-09-01,128.4
2000-10-01,127.9
2000-11-01,126.8
2000-12-01,126.9
2001-01-01,126.9
2001-02-01,126.6
2001-03-01,126.6
2001-04-01,126.0
2001-05-01,126.1
2001-06-01,125.8
2001-07-01,125.5
2001-08-01,125.0
2001-09-01,124.9
2001-10-01,124.1
2001-11-01,123.6
2001-12-01,123.6
2002-01-01,123.7
2002-02-01,124.0
2002-03-01,124.5
2002-04-01,125.0
2002-05-01,125.6
2002-06-01,126.4
2002-07-01,126.8
2002-08-01,126.6
2002-09-01,127.1
2002-10-01,127.0
2002-11-01,127.3
2002-12-01,127.2
2003-01-01,127.6
2003-02-01,128.3
2003-03-01,128.5
2003-04-01,128.2
2003-05-01,128.3
2003-06-01,128.3
2003-07-01,128.4
2003-08-01,129.0
2003-09-01,129.5
2003-10-01,130.2
2003-11-01,131.4
2003-12-01,133.1
2004-01-01,135.9
2004-02-01,140.2
2004-03-01,143.9
2004-04-01,146.5
2004-05-01,147.0
2004-06-01,147.3
2004-07-01,151.3
2004-08-01,154.0
2004-09-01,154.7
2004-10-01,157.1
2004-11-01,158.6
2004-12-01,159.0
2005-01-01,160.1
2005-02-01,160.5
2005-03-01,160.4
2005-04-01,161.1
2005-05-01,159.4
2005-06-01,157.6
2005-07-01,157.4
2005-08-01,158.4
2005-09-01,161.1
2005-10-01,161.9
2005-11-01,165.0
2005-12-01,166.7
2006-01-01,168.6
2006-02-01,170.9
2006-03-01,172.0
2006-04-01,176.9
2006-05-01,184.2
2006-06-01,184.9
2006-07-01,187.5
2006-08-01,187.0
2006-09-01,187.7
2006-10-01,187.3
2006-11-01,186.0
2006-12-01,186.5
2007-01-01,185.7
2007-02-01,187.2
2007-03-01,191.1
2007-04-01,195.4
2007-05-01,196.3
2007-06-01,195.9
2007-07-01,196.6
2007-08-01,195.5
2007-09-01,194.5
2007-10-01,195.0
2007-11-01,194.3
2007-12-01,194.1
2008-01-01,197.5
2008-02-01,201.8
2008-03-01,208.0
2008-04-01,217.6
2008-05-01,223.4
2008-06-01,226.9
2008-07-01,231.8
2008-08-01,230.9
2008-09-01,223.7
2008-10-01,209.1
2008-11-01,195.9
2008-12-01,189.7
2009-01-01,187.0
2009-02-01,183.9
2009-03-01,181.7
2009-04-01,179.9
2009-05-01,180.5
2009-06-01,181.7
2009-07-01,183.5
2009-08-01,189.1
2009-09-01,192.1
2009-10-01,193.3
2009-11-01,193.0
2009-12-01,196.0
2010-01-01,200.5
2010-02-01,200.8
2010-03-01,205.0
2010-04-01,210.3
2010-05-01,210.1
2010-06-01,207.4
2010-07-01,205.0
2010-08-01,206.5
2010-09-01,208.2
2010-10-01,210.4
2010-11-01,212.2
2010-12-01,214.8
2011-01-01,219.8
2011-02-01,224.2
2011-03-01,225.7
2011-04-01,229.2
2011-05-01,228.3
2011-06-01,228.4
2011-07-01,230.0
2011-08-01,229.0
2011-09-01,228.1
2011-10-01,223.8
2011-11-01,222.5
2011-12-01,222.3
2012-01-01,223.6
2012-02-01,225.2
2012-03-01,225.3
2012-04-01,224.3
2012-05-01,222.7
2012-06-01,218.5
2012-07-01,215.6
2012-08-01,215.7
2012-09-01,217.7
2012-10-01,216.1
2012-11-01,216.1
2012-12-01,217.4
2013-01-01,216.7
2013-02-01,216.5
2013-03-01,216.2
2013-04-01,214.9
2013-05-01,212.4
2013-06-01,211.7
2013-07-01,211.3
2013-08-01,212.5
2013-09-01,211.8
2013-10-01,211.8
2013-11-01,212.7
2013-12-01,213.5
2014-01-01,215.4
2014-02-01,215.0
2014-03-01,214.2
2014-04-01,215.0
2014-05-01,215.3
2014-06-01,215.0
2014-07-01,216.3
2014-08-01,216.7
2014-09-01,216.7
2014-10-01,214.8
2014-11-01,213.3
2014-12-01,212.7
2015-01-01,211.3
2015-02-01,206.9
2015-03-01,205.4
2015-04-01,204.2
2015-05-01,204.0
2015-06-01,203.3
2015-07-01,200.6
2015-08-01,197.6
2015-09-01,196.4
2015-10-01,193.9
2015-11-01,190.7
2015-12-01,188.8
2016-01-01,188.1
2016-02-01,188.5
2016-03-01,190.3
2016-04-01,192.8
2016-05-01,195.4
2016-06-01,195.4
2016-07-01,196.7
2016-08-01,197.8
2016-09-01,196.3
2016-10-01,194.9
2016-11-01,196.5
2016-12-01,199.5
2017-01-01,202.2
2017-02-01,204.4
2017-03-01,206.2
2017-04-01,206.6
2017-05-01,207.0
2017-06-01,207.3
2017-07-01,207.8
2017-08-01,208.9
2017-09-01,211.2
2017-10-01,210.4
2017-11-01,210.3
2017-12-01,211.3
2018-01-01,214.6
2018-02-01,216.4
2018-03-01,219.3
2018-04-01,222.6
2018-05-01,225.5
2018-06-01,227.4
2018-07-01,226.9
2018-08-01,225.5
2018-09-01,225.3
2018-10-01,225.9
2018-11-01,226.6
2018-12-01,227.2
2019-01-01,226.1
2019-02-01,225.9
2019-03-01,227.5
2019-04-01,226.0
2019-05-01,223.5
2019-06-01,220.5
2019-07-01,220.1
2019-08-01,219.1
2019-09-01,217.9
2019-10-01,216.2
2019-11-01,215.5
2019-12-01,216.9
2020-01-01,219.8
2020-02-01,218.5
2020-03-01,219.2
2020-04-01,215.9
2020-05-01,214.3
2020-06-01,215.3
2020-07-01,216.3
2020-08-01,218.7
2020-09-01,221.4
2020-10-01,222.2
2020-11-01,224.4
2020-12-01,232.8
2021-01-01,241.5
2021-02-01,246.6
2021-03-01,260.0
2021-04-01,273.4
2021-05-01,283.8
2021-06-01,294.5
2021-07-01,305.713
2021-08-01,312.994
2021-09-01,318.335
2021-10-01,324.537
2021-11-01,332.097
2021-12-01,331.867
2022-01-01,334.372
2022-02-01,330.014
2022-03-01,336.023
2022-04-01,341.670
2022-05-01,345.243
2022-06-01,339.968
2022-07-01,328.864
2022-08-01,324.291
2022-09-01,316.229
2022-10-01,308.808
2022-11-01,308.255
2022-12-01,307.063
2023-01-01,309.925
2023-02-01,312.562
2023-03-01,315.816
2023-04-01,317.726
