DATE,WPU12
2000-01-01,132.1
2000-02-01,132.3
2000-03-01,132.5
2000-04-01,132.6
2000-05-01,132.6
2000-06-01,132.9
2000-07-01,132.7
2000-08-01,132.6
2000-09-01,132.6
2000-10-01,133.0
2000-11-01,132.9
2000-12-01,133.2
2001-01-01,133.2
2001-02-01,133.4
2001-03-01,133.1
2001-04-01,133.4
2001-05-01,133.2
2001-06-01,133.1
2001-07-01,133.2
2001-08-01,132.9
2001-09-01,132.8
2001-10-01,133.2
2001-11-01,133.1
2001-12-01,133.1
2002-01-01,133.5
2002-02-01,133.4
2002-03-01,133.2
2002-04-01,133.2
2002-05-01,133.1
2002-06-01,133.4
2002-07-01,133.8
2002-08-01,133.7
2002-09-01,133.8
2002-10-01,133.9
2002-11-01,133.9
2002-12-01,133.5
2003-01-01,133.7
2003-02-01,133.6
2003-03-01,133.6
2003-04-01,133.8
2003-05-01,133.9
2003-06-01,134.0
2003-07-01,134.1
2003-08-01,133.9
2003-09-01,133.6
2003-10-01,133.9
2003-11-01,134.3
2003-12-01,133.9
2004-01-01,133.6
2004-02-01,133.9
2004-03-01,133.7
2004-04-01,134.0
2004-05-01,134.5
2004-06-01,134.9
2004-07-01,134.9
2004-08-01,135.6
2004-09-01,135.6
2004-10-01,135.9
2004-11-01,137.0
2004-12-01,137.2
2005-01-01,137.5
2005-02-01,138.2
2005-03-01,138.6
2005-04-01,138.7
2005-05-01,139.2
2005-06-01,139.3
2005-07-01,139.8
2005-08-01,139.6
2005-09-01,139.6
2005-10-01,140.0
2005-11-01,140.8
2005-12-01,141.1
2006-01-01,142.0
2006-02-01,142.2
2006-03-01,142.2
2006-04-01,142.2
2006-05-01,142.0
2006-06-01,142.3
2006-07-01,142.5
2006-08-01,142.9
2006-09-01,143.2
2006-10-01,143.5
2006-11-01,143.4
2006-12-01,143.2
2007-01-01,143.9
2007-02-01,144.5
2007-03-01,144.4
2007-04-01,144.6
2007-05-01,144.9
2007-06-01,144.9
2007-07-01,144.8
2007-08-01,144.5
2007-09-01,144.7
2007-10-01,144.9
2007-11-01,145.3
2007-12-01,145.4
2008-01-01,145.7
2008-02-01,146.1
2008-03-01,146.4
2008-04-01,147.2
2008-05-01,147.3
2008-06-01,148.0
2008-07-01,149.3
2008-08-01,150.3
2008-09-01,151.0
2008-10-01,151.8
2008-11-01,152.1
2008-12-01,152.1
2009-01-01,152.9
2009-02-01,153.3
2009-03-01,153.3
2009-04-01,153.4
2009-05-01,153.3
2009-06-01,153.1
2009-07-01,153.1
2009-08-01,152.6
2009-09-01,153.1
2009-10-01,153.1
2009-11-01,153.0
2009-12-01,153.1
2010-01-01,153.0
2010-02-01,152.5
2010-03-01,152.6
2010-04-01,152.8
2010-05-01,153.0
2010-06-01,153.5
2010-07-01,153.3
2010-08-01,153.7
2010-09-01,153.6
2010-10-01,153.7
2010-11-01,153.6
2010-12-01,153.3
2011-01-01,153.7
2011-02-01,154.4
2011-03-01,155.1
2011-04-01,155.5
2011-05-01,155.7
2011-06-01,156.2
2011-07-01,157.0
2011-08-01,157.1
2011-09-01,157.7
2011-10-01,158.3
2011-11-01,158.3
2011-12-01,158.3
2012-01-01,159.4
2012-02-01,160.0
2012-03-01,160.1
2012-04-01,160.7
2012-05-01,161.0
2012-06-01,160.9
2012-07-01,160.9
2012-08-01,160.5
2012-09-01,161.0
2012-10-01,161.1
2012-11-01,160.9
2012-12-01,160.6
2013-01-01,160.5
2013-02-01,160.1
2013-03-01,160.5
2013-04-01,160.9
2013-05-01,160.9
2013-06-01,161.2
2013-07-01,161.1
2013-08-01,161.6
2013-09-01,161.9
2013-10-01,161.8
2013-11-01,161.8
2013-12-01,161.5
2014-01-01,162.0
2014-02-01,162.3
2014-03-01,162.5
2014-04-01,162.3
2014-05-01,163.1
2014-06-01,163.3
2014-07-01,163.7
2014-08-01,163.5
2014-09-01,164.0
2014-10-01,164.0
2014-11-01,164.0
2014-12-01,164.2
2015-01-01,164.6
2015-02-01,164.6
2015-03-01,164.6
2015-04-01,164.4
2015-05-01,164.5
2015-06-01,164.5
2015-07-01,164.7
2015-08-01,164.9
2015-09-01,165.0
2015-10-01,165.1
2015-11-01,165.1
2015-12-01,164.9
2016-01-01,165.2
2016-02-01,165.2
2016-03-01,165.2
2016-04-01,165.0
2016-05-01,164.7
2016-06-01,164.9
2016-07-01,165.0
2016-08-01,165.3
2016-09-01,165.4
2016-10-01,165.1
2016-11-01,165.2
2016-12-01,165.4
2017-01-01,165.6
2017-02-01,166.0
2017-03-01,166.3
2017-04-01,166.5
2017-05-01,166.9
2017-06-01,166.7
2017-07-01,167.1
2017-08-01,167.3
2017-09-01,167.3
2017-10-01,167.2
2017-11-01,167.8
2017-12-01,167.8
2018-01-01,168.9
2018-02-01,169.3
2018-03-01,169.8
2018-04-01,170.8
2018-05-01,171.1
2018-06-01,171.9
2018-07-01,171.6
2018-08-01,172.0
2018-09-01,172.6
2018-10-01,173.4
2018-11-01,173.6
2018-12-01,173.9
2019-01-01,175.3
2019-02-01,175.6
2019-03-01,175.5
2019-04-01,175.6
2019-05-01,176.5
2019-06-01,176.5
2019-07-01,176.6
2019-08-01,176.6
2019-09-01,176.9
2019-10-01,177.2
2019-11-01,177.1
2019-12-01,177.4
2020-01-01,177.4
2020-02-01,177.9
2020-03-01,178.5
2020-04-01,178.6
2020-05-01,178.9
2020-06-01,179.1
2020-07-01,179.3
2020-08-01,179.5
2020-09-01,179.9
2020-10-01,179.4
2020-11-01,179.9
2020-12-01,180.5
2021-01-01,180.8
2021-02-01,181.6
2021-03-01,183.2
2021-04-01,185.1
2021-05-01,187.1
2021-06-01,190.7
2021-07-01,192.294
2021-08-01,193.124
2021-09-01,195.663
2021-10-01,196.823
2021-11-01,197.953
2021-12-01,199.185
2022-01-01,201.332
2022-02-01,204.413
2022-03-01,206.435
2022-04-01,206.512
2022-05-01,208.142
2022-06-01,210.263
2022-07-01,211.671
2022-08-01,213.150
2022-09-01,214.147
2022-10-01,214.463
2022-11-01,215.719
2022-12-01,216.786
2023-01-01,216.802
2023-02-01,217.904
2023-03-01,218.165
2023-04-01,217.938
