DATE,WPU14
2000-01-01,143.5
2000-02-01,143.4
2000-03-01,143.4
2000-04-01,143.5
2000-05-01,143.5
2000-06-01,143.1
2000-07-01,143.1
2000-08-01,142.9
2000-09-01,142.9
2000-10-01,145.4
2000-11-01,145.6
2000-12-01,145.5
2001-01-01,145.7
2001-02-01,144.9
2001-03-01,145.1
2001-04-01,145.5
2001-05-01,144.8
2001-06-01,144.5
2001-07-01,144.9
2001-08-01,144.8
2001-09-01,145.0
2001-10-01,146.0
2001-11-01,145.7
2001-12-01,146.0
2002-01-01,145.4
2002-02-01,145.8
2002-03-01,145.3
2002-04-01,145.1
2002-05-01,144.5
2002-06-01,144.4
2002-07-01,143.0
2002-08-01,142.5
2002-09-01,142.5
2002-10-01,146.4
2002-11-01,145.5
2002-12-01,144.8
2003-01-01,145.3
2003-02-01,145.5
2003-03-01,146.9
2003-04-01,144.9
2003-05-01,144.8
2003-06-01,144.3
2003-07-01,144.3
2003-08-01,144.6
2003-09-01,144.1
2003-10-01,148.7
2003-11-01,147.9
2003-12-01,147.4
2004-01-01,147.8
2004-02-01,147.7
2004-03-01,148.0
2004-04-01,147.7
2004-05-01,148.0
2004-06-01,148.4
2004-07-01,147.2
2004-08-01,147.4
2004-09-01,147.3
2004-10-01,151.8
2004-11-01,151.1
2004-12-01,151.3
2005-01-01,151.9
2005-02-01,151.0
2005-03-01,151.0
2005-04-01,151.0
2005-05-01,151.0
2005-06-01,149.7
2005-07-01,150.1
2005-08-01,150.0
2005-09-01,150.2
2005-10-01,152.9
2005-11-01,151.8
2005-12-01,151.2
2006-01-01,152.1
2006-02-01,152.4
2006-03-01,152.7
2006-04-01,152.8
2006-05-01,152.8
2006-06-01,152.5
2006-07-01,149.9
2006-08-01,150.9
2006-09-01,151.4
2006-10-01,153.0
2006-11-01,155.5
2006-12-01,155.1
2007-01-01,155.0
2007-02-01,155.0
2007-03-01,154.6
2007-04-01,154.3
2007-05-01,154.2
2007-06-01,154.4
2007-07-01,154.4
2007-08-01,154.2
2007-09-01,153.7
2007-10-01,156.9
2007-11-01,157.3
2007-12-01,156.6
2008-01-01,157.5
2008-02-01,157.5
2008-03-01,156.8
2008-04-01,157.6
2008-05-01,157.5
2008-06-01,156.7
2008-07-01,156.7
2008-08-01,157.6
2008-09-01,157.8
2008-10-01,162.8
2008-11-01,162.4
2008-12-01,162.8
2009-01-01,162.8
2009-02-01,162.7
2009-03-01,162.2
2009-04-01,162.3
