DATE,WPU15
2000-01-01,167.2
2000-02-01,170.4
2000-03-01,170.1
2000-04-01,169.6
2000-05-01,169.4
2000-06-01,169.9
2000-07-01,170.5
2000-08-01,171.5
2000-09-01,172.3
2000-10-01,172.6
2000-11-01,173.1
2000-12-01,173.5
2001-01-01,177.1
2001-02-01,177.9
2001-03-01,178.3
2001-04-01,179.2
2001-05-01,182.4
2001-06-01,182.8
2001-07-01,182.7
2001-08-01,183.0
2001-09-01,183.1
2001-10-01,182.9
2001-11-01,183.3
2001-12-01,183.3
2002-01-01,182.0
2002-02-01,181.8
2002-03-01,181.4
2002-04-01,183.0
2002-05-01,182.9
2002-06-01,183.0
2002-07-01,183.0
2002-08-01,182.9
2002-09-01,183.2
2002-10-01,183.2
2002-11-01,183.1
2002-12-01,179.1
2003-01-01,179.5
2003-02-01,179.5
2003-03-01,179.9
2003-04-01,179.1
2003-05-01,179.1
2003-06-01,179.3
2003-07-01,179.0
2003-08-01,179.3
2003-09-01,179.6
2003-10-01,180.0
2003-11-01,180.4
2003-12-01,180.5
2004-01-01,181.3
2004-02-01,181.4
2004-03-01,181.8
2004-04-01,182.1
2004-05-01,181.9
2004-06-01,182.5
2004-07-01,182.8
2004-08-01,183.4
2004-09-01,184.3
2004-10-01,184.6
2004-11-01,185.4
2004-12-01,186.8
2005-01-01,189.5
2005-02-01,191.5
2005-03-01,192.2
2005-04-01,192.8
2005-05-01,193.4
2005-06-01,194.4
2005-07-01,195.3
2005-08-01,196.1
2005-09-01,196.8
2005-10-01,198.0
2005-11-01,200.3
2005-12-01,200.9
2006-01-01,202.1
2006-02-01,203.0
2006-03-01,204.1
2006-04-01,205.3
2006-05-01,206.2
2006-06-01,206.7
2006-07-01,206.3
2006-08-01,206.9
2006-09-01,206.1
2006-10-01,206.3
2006-11-01,207.3
2006-12-01,207.0
2007-01-01,207.7
2007-02-01,211.0
2007-03-01,210.6
2007-04-01,209.9
2007-05-01,210.3
2007-06-01,210.0
2007-07-01,209.7
2007-08-01,209.7
2007-09-01,210.7
2007-10-01,211.2
2007-11-01,211.7
2007-12-01,211.3
2008-01-01,212.7
2008-02-01,213.3
2008-03-01,214.8
2008-04-01,214.9
2008-05-01,216.4
2008-06-01,217.1
2008-07-01,218.3
2008-08-01,218.4
2008-09-01,218.3
2008-10-01,218.8
2008-11-01,218.1
2008-12-01,218.0
2009-01-01,218.0
2009-02-01,219.0
2009-03-01,220.0
2009-04-01,217.9
2009-05-01,216.6
2009-06-01,216.4
2009-07-01,216.2
2009-08-01,215.9
2009-09-01,216.8
2009-10-01,216.9
2009-11-01,218.0
2009-12-01,218.3
2010-01-01,218.4
2010-02-01,218.7
2010-03-01,219.6
2010-04-01,219.8
2010-05-01,220.9
2010-06-01,221.6
2010-07-01,222.3
2010-08-01,222.7
2010-09-01,222.6
2010-10-01,223.1
2010-11-01,223.6
2010-12-01,225.0
2011-01-01,225.7
2011-02-01,226.6
2011-03-01,227.1
2011-04-01,227.4
2011-05-01,227.5
2011-06-01,228.0
2011-07-01,229.9
2011-08-01,230.0
2011-09-01,232.0
2011-10-01,232.0
2011-11-01,232.1
2011-12-01,232.6
2012-01-01,233.5
2012-02-01,234.4
2012-03-01,235.2
2012-04-01,234.9
2012-05-01,234.8
2012-06-01,234.7
2012-07-01,235.9
2012-08-01,236.1
2012-09-01,236.4
2012-10-01,236.6
2012-11-01,236.8
2012-12-01,238.2
2013-01-01,238.4
2013-02-01,238.8
2013-03-01,239.2
2013-04-01,239.3
2013-05-01,239.3
2013-06-01,239.6
2013-07-01,239.6
2013-08-01,239.6
2013-09-01,239.6
2013-10-01,239.6
2013-11-01,239.7
2013-12-01,241.7
2014-01-01,242.2
2014-02-01,242.6
2014-03-01,241.8
2014-04-01,241.9
2014-05-01,242.8
2014-06-01,243.1
2014-07-01,243.3
2014-08-01,243.3
2014-09-01,243.2
2014-10-01,243.3
