DATE,PCU33443344
2000-01-01,88.8
2000-02-01,88.6
2000-03-01,88.6
2000-04-01,88.9
2000-05-01,88.5
2000-06-01,88.8
2000-07-01,89.3
2000-08-01,89.2
2000-09-01,89.1
2000-10-01,88.8
2000-11-01,88.6
2000-12-01,87.9
2001-01-01,87.9
2001-02-01,87.5
2001-03-01,87.3
2001-04-01,87.1
2001-05-01,86.9
2001-06-01,86.5
2001-07-01,86.3
2001-08-01,85.6
2001-09-01,85.4
2001-10-01,85.3
2001-11-01,85.4
2001-12-01,85.4
2002-01-01,85.7
2002-02-01,85.8
2002-03-01,86.1
2002-04-01,85.4
2002-05-01,84.9
2002-06-01,84.8
2002-07-01,84.8
2002-08-01,84.6
2002-09-01,84.6
2002-10-01,84.3
2002-11-01,84.3
2002-12-01,83.0
2003-01-01,82.8
2003-02-01,82.4
2003-03-01,82.4
2003-04-01,82.6
2003-05-01,82.7
2003-06-01,82.1
2003-07-01,82.1
2003-08-01,80.0
2003-09-01,79.1
2003-10-01,79.1
2003-11-01,79.3
2003-12-01,78.4
2004-01-01,77.7
2004-02-01,78.4
2004-03-01,78.1
2004-04-01,78.8
2004-05-01,78.3
2004-06-01,78.5
2004-07-01,78.5
2004-08-01,78.3
2004-09-01,78.2
2004-10-01,78.3
2004-11-01,78.0
2004-12-01,78.1
2005-01-01,77.7
2005-02-01,77.5
2005-03-01,77.2
2005-04-01,76.9
2005-05-01,76.6
2005-06-01,76.4
2005-07-01,76.6
2005-08-01,76.8
2005-09-01,76.2
2005-10-01,75.9
2005-11-01,75.2
2005-12-01,74.9
2006-01-01,74.6
2006-02-01,74.3
2006-03-01,74.6
2006-04-01,75.0
2006-05-01,75.2
2006-06-01,75.1
2006-07-01,75.3
2006-08-01,75.3
2006-09-01,75.8
2006-10-01,75.5
2006-11-01,75.4
2006-12-01,75.6
2007-01-01,75.4
2007-02-01,72.6
2007-03-01,71.6
2007-04-01,71.5
2007-05-01,70.7
2007-06-01,71.0
2007-07-01,69.8
2007-08-01,69.1
2007-09-01,68.5
2007-10-01,67.8
2007-11-01,67.5
2007-12-01,66.9
2008-01-01,66.7
2008-02-01,66.7
2008-03-01,66.7
2008-04-01,66.6
2008-05-01,66.6
2008-06-01,66.6
2008-07-01,66.2
2008-08-01,66.0
2008-09-01,65.8
2008-10-01,66.1
2008-11-01,65.8
2008-12-01,65.4
2009-01-01,64.8
2009-02-01,65.0
2009-03-01,65.3
2009-04-01,65.4
2009-05-01,65.5
2009-06-01,65.4
2009-07-01,65.6
2009-08-01,65.5
2009-09-01,65.5
2009-10-01,65.6
2009-11-01,65.7
2009-12-01,65.4
2010-01-01,64.6
2010-02-01,64.7
2010-03-01,64.7
2010-04-01,64.6
2010-05-01,64.6
2010-06-01,64.2
2010-07-01,64.3
2010-08-01,63.8
2010-09-01,63.5
2010-10-01,63.2
2010-11-01,62.2
2010-12-01,61.9
2011-01-01,61.9
2011-02-01,62.2
2011-03-01,62.1
2011-04-01,62.0
2011-05-01,62.0
2011-06-01,62.1
2011-07-01,61.8
2011-08-01,61.6
2011-09-01,60.9
2011-10-01,61.1
2011-11-01,60.7
2011-12-01,60.2
2012-01-01,59.7
2012-02-01,59.8
2012-03-01,59.7
2012-04-01,59.8
2012-05-01,60.0
2012-06-01,59.7
2012-07-01,59.6
2012-08-01,59.4
2012-09-01,59.3
2012-10-01,59.3
2012-11-01,59.1
2012-12-01,58.8
2013-01-01,58.9
2013-02-01,58.9
2013-03-01,58.7
2013-04-01,59.1
2013-05-01,59.4
2013-06-01,59.4
2013-07-01,59.5
2013-08-01,59.4
2013-09-01,59.2
2013-10-01,59.3
2013-11-01,59.4
2013-12-01,59.4
2014-01-01,58.9
2014-02-01,58.8
2014-03-01,58.8
2014-04-01,58.7
2014-05-01,58.7
2014-06-01,58.7
2014-07-01,58.8
2014-08-01,58.7
2014-09-01,58.8
2014-10-01,58.8
2014-11-01,58.7
2014-12-01,58.7
2015-01-01,58.7
2015-02-01,58.7
2015-03-01,58.6
2015-04-01,58.6
2015-05-01,58.7
2015-06-01,58.3
2015-07-01,58.4
2015-08-01,58.2
2015-09-01,58.1
2015-10-01,58.1
2015-11-01,58.1
2015-12-01,58.0
2016-01-01,57.7
2016-02-01,57.6
2016-03-01,57.6
2016-04-01,57.5
2016-05-01,57.5
2016-06-01,57.5
2016-07-01,57.4
2016-08-01,57.4
2016-09-01,57.1
2016-10-01,56.9
2016-11-01,56.9
2016-12-01,56.9
2017-01-01,57.4
2017-02-01,57.3
2017-03-01,57.3
2017-04-01,57.6
2017-05-01,57.5
2017-06-01,57.4
2017-07-01,56.6
2017-08-01,56.4
2017-09-01,56.0
2017-10-01,56.0
2017-11-01,56.0
2017-12-01,56.0
2018-01-01,56.1
2018-02-01,56.3
2018-03-01,56.3
2018-04-01,56.4
2018-05-01,56.2
2018-06-01,56.2
2018-07-01,55.9
2018-08-01,55.5
2018-09-01,55.9
2018-10-01,55.6
2018-11-01,55.6
2018-12-01,55.6
2019-01-01,55.1
2019-02-01,55.1
2019-03-01,55.1
2019-04-01,55.2
2019-05-01,55.1
2019-06-01,55.3
2019-07-01,55.4
2019-08-01,55.5
2019-09-01,55.6
2019-10-01,55.5
2019-11-01,55.5
2019-12-01,55.6
2020-01-01,55.5
2020-02-01,55.4
2020-03-01,55.6
2020-04-01,54.9
2020-05-01,54.9
2020-06-01,54.9
2020-07-01,54.7
2020-08-01,54.6
2020-09-01,54.7
2020-10-01,53.8
