,tic,Date,TRBC Business Sector Name,Industry Name,Trailing PE,pe_exi
0,A,2019-01,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,78.402
1,A,2019-02,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,81.897
2,A,2019-03,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,22.706
3,A,2019-04,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,22.175
4,A,2019-05,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,18.941
5,A,2019-06,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,21.519
6,A,2019-07,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,20.003
7,A,2019-08,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,20.493
8,A,2019-09,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,22.875
9,A,2019-10,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,22.612
10,A,2019-11,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,24.11
11,A,2019-12,Healthcare Services & Equipment,Heathcare Information and Technology,195.14,25.315
12,AAL,2019-01,Transportation,Transportation,17.67,32.225
13,AAL,2019-02,Transportation,Transportation,17.67,11.759
14,AAL,2019-03,Transportation,Transportation,17.67,10.482
15,AAL,2019-04,Transportation,Transportation,17.67,11.281
16,AAL,2019-05,Transportation,Transportation,17.67,8.728
17,AAL,2019-06,Transportation,Transportation,17.67,10.452
18,AAL,2019-07,Transportation,Transportation,17.67,9.779
19,AAL,2019-08,Transportation,Transportation,17.67,7.761
20,AAL,2019-09,Transportation,Transportation,17.67,7.956
21,AAL,2019-10,Transportation,Transportation,17.67,8.867
22,AAL,2019-11,Transportation,Transportation,17.67,8.119
23,AAL,2019-12,Transportation,Transportation,17.67,8.102
24,AAP,2019-01,Retailers,Retail (General),18.48,21.283
25,AAP,2019-02,Retailers,Retail (General),18.48,28.234
26,AAP,2019-03,Retailers,Retail (General),18.48,29.761
27,AAP,2019-04,Retailers,Retail (General),18.48,29.026
28,AAP,2019-05,Retailers,Retail (General),18.48,26.405
29,AAP,2019-06,Retailers,Retail (General),18.48,26.259
30,AAP,2019-07,Retailers,Retail (General),18.48,25.663
31,AAP,2019-08,Retailers,Retail (General),18.48,22.953
32,AAP,2019-09,Retailers,Retail (General),18.48,27.521
33,AAP,2019-10,Retailers,Retail (General),18.48,27.035
34,AAP,2019-11,Retailers,Retail (General),18.48,25.335
35,AAP,2019-12,Retailers,Retail (General),18.48,25.832
36,AAPL,2019-01,Technology Equipment,Computers/Peripherals,50.94,13.975
37,AAPL,2019-02,Technology Equipment,Computers/Peripherals,50.94,3.56
38,AAPL,2019-03,Technology Equipment,Computers/Peripherals,50.94,3.905
39,AAPL,2019-04,Technology Equipment,Computers/Peripherals,50.94,4.126
40,AAPL,2019-05,Technology Equipment,Computers/Peripherals,50.94,3.675
41,AAPL,2019-06,Technology Equipment,Computers/Peripherals,50.94,4.154
42,AAPL,2019-07,Technology Equipment,Computers/Peripherals,50.94,4.472
43,AAPL,2019-08,Technology Equipment,Computers/Peripherals,50.94,4.434
44,AAPL,2019-09,Technology Equipment,Computers/Peripherals,50.94,4.757
45,AAPL,2019-10,Technology Equipment,Computers/Peripherals,50.94,5.284
46,AAPL,2019-11,Technology Equipment,Computers/Peripherals,50.94,22.477
47,AAPL,2019-12,Technology Equipment,Computers/Peripherals,50.94,24.697
48,ABBV,2019-01,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,16.658
49,ABBV,2019-02,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,21.65
50,ABBV,2019-03,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,22.019
51,ABBV,2019-04,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,21.691
52,ABBV,2019-05,Pharmaceuticals & Medical Research,Drugs (Pharmaceutical),106.46,21.98
