permno,adate,qdate,public_date,pe_exi,TICKER
10104,2009-05-31,2009-11-30,2010-01-31,20.052,ORCL
10104,2009-05-31,2009-11-30,2010-02-28,21.435,ORCL
10104,2009-05-31,2009-11-30,2010-03-31,22.357,ORCL
10104,2009-05-31,2010-02-28,2010-04-30,23.096,ORCL
10104,2009-05-31,2010-02-28,2010-05-31,20.152,ORCL
10104,2009-05-31,2010-02-28,2010-06-30,19.161,ORCL
10104,2010-05-31,2010-05-31,2010-07-31,19.537,ORCL
10104,2010-05-31,2010-05-31,2010-08-31,18.054,ORCL
10104,2010-05-31,2010-05-31,2010-09-30,22.190,ORCL
10104,2010-05-31,2010-08-31,2010-10-31,23.504,ORCL
10104,2010-05-31,2010-08-31,2010-11-30,21.636,ORCL
10104,2010-05-31,2010-08-31,2010-12-31,25.040,ORCL
10104,2010-05-31,2010-11-30,2011-01-31,24.265,ORCL
10104,2010-05-31,2010-11-30,2011-02-28,24.924,ORCL
10104,2010-05-31,2010-11-30,2011-03-31,25.328,ORCL
10104,2010-05-31,2011-02-28,2011-04-30,23.973,ORCL
10104,2010-05-31,2011-02-28,2011-05-31,22.813,ORCL
10104,2010-05-31,2011-02-28,2011-06-30,21.940,ORCL
10104,2011-05-31,2011-05-31,2011-07-31,18.311,ORCL
10104,2011-05-31,2011-05-31,2011-08-31,16.808,ORCL
10104,2011-05-31,2011-05-31,2011-09-30,17.210,ORCL
10104,2011-05-31,2011-08-31,2011-10-31,18.619,ORCL
10104,2011-05-31,2011-08-31,2011-11-30,17.813,ORCL
10104,2011-05-31,2011-08-31,2011-12-31,14.574,ORCL
10104,2011-05-31,2011-11-30,2012-01-31,15.586,ORCL
10104,2011-05-31,2011-11-30,2012-02-29,16.163,ORCL
10104,2011-05-31,2011-11-30,2012-03-31,16.110,ORCL
10104,2011-05-31,2012-02-29,2012-04-30,15.474,ORCL
10104,2011-05-31,2012-02-29,2012-05-31,13.932,ORCL
10104,2011-05-31,2012-02-29,2012-06-30,15.632,ORCL
10104,2012-05-31,2012-05-31,2012-07-31,15.408,ORCL
10104,2012-05-31,2012-05-31,2012-08-31,16.148,ORCL
10104,2012-05-31,2012-05-31,2012-09-30,16.051,ORCL
10104,2012-05-31,2012-08-31,2012-10-31,15.386,ORCL
10104,2012-05-31,2012-08-31,2012-11-30,15.928,ORCL
10104,2012-05-31,2012-08-31,2012-12-31,16.495,ORCL
10104,2012-05-31,2012-11-30,2013-01-31,16.750,ORCL
10104,2012-05-31,2012-11-30,2013-02-28,16.151,ORCL
10104,2012-05-31,2012-11-30,2013-03-31,15.250,ORCL
10104,2012-05-31,2013-02-28,2013-04-30,15.247,ORCL
10104,2012-05-31,2013-02-28,2013-05-31,15.712,ORCL
10104,2012-05-31,2013-02-28,2013-06-30,14.284,ORCL
10104,2013-05-31,2013-05-31,2013-07-31,14.314,ORCL
10104,2013-05-31,2013-05-31,2013-08-31,14.097,ORCL
10104,2013-05-31,2013-05-31,2013-09-30,14.677,ORCL
10104,2013-05-31,2013-08-31,2013-10-31,14.440,ORCL
10104,2013-05-31,2013-08-31,2013-11-30,15.211,ORCL
10104,2013-05-31,2013-08-31,2013-12-31,16.491,ORCL
10104,2013-05-31,2013-11-30,2014-01-31,15.769,ORCL
10104,2013-05-31,2013-11-30,2014-02-28,16.714,ORCL
10104,2013-05-31,2013-11-30,2014-03-31,17.483,ORCL
10104,2013-05-31,2014-02-28,2014-04-30,17.176,ORCL
10104,2013-05-31,2014-02-28,2014-05-31,17.655,ORCL
10104,2013-05-31,2014-02-28,2014-06-30,17.029,ORCL
10104,2014-05-31,2014-05-31,2014-07-31,16.971,ORCL
10104,2014-05-31,2014-05-31,2014-08-31,17.450,ORCL
10104,2014-05-31,2014-05-31,2014-09-30,16.084,ORCL
10104,2014-05-31,2014-08-31,2014-10-31,16.271,ORCL
10104,2014-05-31,2014-08-31,2014-11-30,17.671,ORCL
10104,2014-05-31,2014-08-31,2014-12-31,18.738,ORCL
10104,2014-05-31,2014-11-30,2015-01-31,17.454,ORCL
10104,2014-05-31,2014-11-30,2015-02-28,18.258,ORCL
10104,2014-05-31,2014-11-30,2015-03-31,17.979,ORCL
10104,2014-05-31,2015-02-28,2015-04-30,18.251,ORCL
10104,2014-05-31,2015-02-28,2015-05-31,18.197,ORCL
10104,2014-05-31,2015-02-28,2015-06-30,16.862,ORCL
10104,2015-05-31,2015-05-31,2015-07-31,18.072,ORCL
10104,2015-05-31,2015-05-31,2015-08-31,16.783,ORCL
10104,2015-05-31,2015-05-31,2015-09-30,16.344,ORCL
10104,2015-05-31,2015-08-31,2015-10-31,18.150,ORCL
10104,2015-05-31,2015-08-31,2015-11-30,18.210,ORCL
10104,2015-05-31,2015-08-31,2015-12-31,17.070,ORCL
10104,2015-05-31,2015-11-30,2016-01-31,17.457,ORCL
10104,2015-05-31,2015-11-30,2016-02-29,17.683,ORCL
10104,2015-05-31,2015-11-30,2016-03-31,19.668,ORCL
10104,2015-05-31,2016-02-29,2016-04-30,19.635,ORCL
10104,2015-05-31,2016-02-29,2016-05-31,19.803,ORCL
10104,2015-05-31,2016-02-29,2016-06-30,20.163,ORCL
10104,2016-05-31,2016-05-31,2016-07-31,19.826,ORCL
10104,2016-05-31,2016-05-31,2016-08-31,19.913,ORCL
10104,2016-05-31,2016-05-31,2016-09-30,18.976,ORCL
10104,2016-05-31,2016-08-31,2016-10-31,18.295,ORCL
10104,2016-05-31,2016-08-31,2016-11-30,19.138,ORCL
10104,2016-05-31,2016-08-31,2016-12-31,18.310,ORCL
10104,2016-05-31,2016-11-30,2017-01-31,19.284,ORCL
10104,2016-05-31,2016-11-30,2017-02-28,20.476,ORCL
10104,2016-05-31,2016-11-30,2017-03-31,21.447,ORCL
10104,2016-05-31,2017-02-28,2017-04-30,21.308,ORCL
10104,2016-05-31,2017-02-28,2017-05-31,21.512,ORCL
10104,2016-05-31,2017-02-28,2017-06-30,23.763,ORCL
