Date updated:;05. Jan 19;;;;;;;;
Created by:;Aswath Damodaran, adamodar@stern.nyu.edu;;;;;;;;
What is this data?;Price Earnings multiples;;;;US companies;;;;
Home Page:;http://www.damodaran.com;;;;;;;;
Data website:;http://www.stern.nyu.edu/~adamodar/New_Home_Page/data.html;;;;;;;;
Companies in each industry:;http://www.stern.nyu.edu/~adamodar/pc/datasets/indname.xls;;;;;;;;
Variable definitions:;http://www.stern.nyu.edu/~adamodar/New_Home_Page/datafile/variable.htm;;;;;;;;
Industry Name;Number of firms;Current PE;Trailing PE;Forward PE;Aggregate Mkt Cap/ Net Income (all firms);Aggregate Mkt Cap/ Trailing Net Income (only money making firms);Expected growth - next 5 years;PEG Ratio;
Advertising;48;35,59;10,81;32,38;33,53;12,49;14,30%;0,87;
Aerospace/Defense;85;43,13;33,83;21,31;23,74;18,30;14,00%;1,31;
Air Transport;18;7,05;7,99;9,02;8,08;8,74;13,99%;0,62;
Apparel;50;35,79;55,05;14,04;52,44;20,96;12,19%;1,72;
Auto & Truck;14;7,12;17,75;13,63;50,91;10,88;28,13%;0,39;
Auto Parts;52;21,63;18,92;11,88;11,38;9,82;7,74%;1,27;
Bank (Money Center);10;15,34;12,69;9,16;15,31;10,42;10,55%;0,99;
Banks (Regional);633;26,26;25,30;11,64;14,27;11,32;10,04%;1,13;
Beverage (Alcoholic);31;19,56;20,16;28,73;15,20;11,89;17,35%;0,68;
Beverage (Soft);37;60,10;35,13;24,71;57,18;43,09;19,33%;2,23;
Broadcasting;24;7,44;17,66;16,65;22,26;6,42;15,69%;0,41;
Brokerage & Investment Banking;38;81,87;28,79;12,75;16,13;11,87;16,17%;0,73;
Building Materials;42;89,60;21,87;15,27;24,27;17,44;17,70%;0,99;
Business & Consumer Services;168;52,88;20,60;22,13;22,52;18,72;14,26%;1,31;
Cable TV;14;10,38;10,69;23,55;7,49;6,86;1,70%;4,04;
Chemical (Basic);39;17,43;13,47;9,20;9,93;5,93;12,51%;0,47;
Chemical (Diversified);6;26,28;18,59;7,87;33,96;25,21;7,95%;3,17;
Chemical (Specialty);89;40,40;24,65;14,63;25,53;19,09;13,84%;1,38;
Coal & Related Energy;23;156,82;10,44;9,04;8,33;4,89;NA;NA;
Computer Services;119;130,26;19,29;15,48;20,59;17,55;12,55%;1,40;
Computers/Peripherals;57;79,02;50,94;17,69;13,84;12,24;12,13%;1,01;
Construction Supplies;48;19,07;14,37;11,33;21,83;14,17;13,37%;1,06;
Diversified;23;26,69;18,64;19,40;17,31;10,49;10,82%;0,97;
Drugs (Biotechnology);481;32,19;68,57;43,88;NA;27,39;35,58%;0,77;
Drugs (Pharmaceutical);237;69,20;106,46;27,44;48,96;31,12;11,13%;2,80;
Education;35;43,96;48,47;28,79;46,48;16,01;13,57%;1,18;
Electrical Equipment;116;356,28;20,89;18,83;25,93;16,58;15,09%;1,10;
Electronics (Consumer & Office);19;32,57;56,33;47,41;NA;10,95;14,72%;0,74;
Electronics (General);160;82,69;46,32;22,33;73,08;29,62;16,75%;1,77;
Engineering/Construction;52;32,89;19,49;16,54;23,88;16,28;12,54%;1,30;
Entertainment;120;47,69;64,02;87,08;24,43;21,00;14,80%;1,42;
Environmental & Waste Services;91;49,70;30,92;47,83;26,47;19,65;14,42%;1,36;
Farming/Agriculture;33;25,27;41,10;15,88;19,15;16,54;15,15%;1,09;
Financial Svcs. (Non-bank & Insurance);259;320,15;50,79;14,11;16,19;10,98;15,04%;0,73;
Food Processing;83;25,91;21,98;27,20;11,70;11,14;6,41%;1,74;
Food Wholesalers;18;22,45;18,84;16,73;20,48;17,87;11,25%;1,59;
Furn/Home Furnishings;30;17,41;36,53;13,89;15,54;14,34;13,65%;1,05;
Green & Renewable Energy;21;14,02;16,64;28,64;NA;15,35;6,50%;2,36;
Healthcare Products;248;91,47;87,60;68,15;103,19;50,04;17,99%;2,78;
Healthcare Support Services;111;234,53;38,68;20,10;21,47;20,25;14,66%;1,38;
Heathcare Information and Technology;119;84,08;195,14;35,22;54,81;33,96;15,99%;2,12;
Homebuilding;31;15,18;10,45;8,04;11,20;8,89;3,69%;2,41;
Hospitals/Healthcare Facilities;34;23,68;17,87;19,72;NA;13,79;14,39%;0,96;
Hotel/Gaming;70;33,65;17,27;20,98;14,68;10,96;25,57%;0,43;
Household Products;141;37,01;40,46;17,84;22,41;23,56;9,17%;2,57;
Information Services;71;41,23;34,03;44,55;34,70;28,05;15,46%;1,81;
Insurance (General);20;18,83;18,82;20,58;NA;16,09;16,94%;0,95;
Insurance (Life);23;9,69;10,78;46,98;6,74;6,33;10,48%;0,60;
Insurance (Prop/Cas.);50;27,34;18,25;18,13;18,91;11,46;12,70%;0,90;
Investments & Asset Management;172;79,02;29,80;10,80;12,47;10,30;13,09%;0,79;
Machinery;127;74,54;25,33;15,83;22,02;19,76;17,61%;1,12;
