Instrument,Number Employees Date,Number of Employees,RIC
POOL.OQ,1998-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,1999-12-31,1100,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2000-12-31,1800,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2001-12-31,1900,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2002-12-31,2300,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2003-12-31,2450,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2004-12-31,2700,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2005-12-31,3200,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2006-12-31,3600,POOL.OQ
POOL.OQ,2007-12-31,3500,POOL.OQ
POOL.OQ,2007-12-31,3500,POOL.OQ
POOL.OQ,2007-12-31,3500,POOL.OQ
POOL.OQ,2007-12-31,3500,POOL.OQ
POOL.OQ,2007-12-31,3500,POOL.OQ
