Instrument,TRBC Economic Sector Name,TRBC Business Sector Name,TRBC Industry Group Name,TRBC Industry Name,RIC
POOL.OQ,Consumer Cyclicals,Cyclical Consumer Products,Leisure Products,Recreational Products,POOL.OQ
CHRW.OQ,Industrials,Transportation,Freight & Logistics Services,Ground Freight & Logistics,CHRW.OQ
AJG.N,Financials,Insurance,Insurance,Multiline Insurance & Brokers,AJG.N
CNP.N,Utilities,Utilities,Multiline Utilities,Multiline Utilities,CNP.N
AMCR.N,Basic Materials,Applied Resources,Containers & Packaging,Non-Paper Containers & Packaging,AMCR.N
WM.N,Industrials,Industrial & Commercial Services,Professional & Commercial Services,Environmental Services & Equipment,WM.N
BA.N,Industrials,Industrial Goods,Aerospace & Defense,Aerospace & Defense,BA.N
FOX.OQ,Consumer Cyclicals,Cyclical Consumer Services,Media & Publishing,Broadcasting,FOX.OQ
LIN.N,Basic Materials,Chemicals,Chemicals,Commodity Chemicals,LIN.N
WY.N,Real Estate,Real Estate,Residential & Commercial REITs,Specialized REITs,WY.N
MCD.N,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Restaurants & Bars,MCD.N
HD.N,Consumer Cyclicals,Retailers,Specialty Retailers,Home Improvement Products & Services Retailers,HD.N
SPG.N,Real Estate,Real Estate,Residential & Commercial REITs,Commercial REITs,SPG.N
HBAN.OQ,Financials,Banking & Investment Services,Banking Services,Banks,HBAN.OQ
QRVO.OQ,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,QRVO.OQ
LVS.N,Consumer Cyclicals,Cyclical Consumer Services,Hotels & Entertainment Services,Casinos & Gaming,LVS.N
CTRA.N,Energy,Energy - Fossil Fuels,Oil & Gas,Oil & Gas Exploration and Production,CTRA.N
ON.OQ,Technology,Technology Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,ON.OQ
AIG.N,Financials,Insurance,Insurance,Property & Casualty Insurance,AIG.N
AIZ.N,Financials,Insurance,Insurance,Multiline Insurance & Brokers,AIZ.N
