,0
0,73278L105
1,12541W209
2,363576109
3,15189T107
4,No best match available
5,94106L109
6,097023105
7,35137L204
8,No best match available
9,962166104
10,580135101
11,437076102
12,828806109
13,446150104
14,74736K101
15,517834107
16,127097103
17,682189105
18,026874784
19,04621X108
20,14448C104
21,30034W106
22,22160K105
23,615369105
24,254687106
25,704326107
26,007903107
27,758849103
28,23331A109
29,89417E109
30,090572207
31,61945C103
32,099724106
33,958102105
34,92276F100
35,No best match available
36,989207105
37,038222105
38,No best match available
39,303075105
40,863667101
41,92343E102
42,09073M104
43,62944T105
44,070830104
45,548661107
46,101137107
47,871829107
48,35671D857
49,574599106
50,354613101
51,30303M102
52,302130109
53,70432V102
54,30212P303
55,754730109
56,194162103
57,925652109
58,150870103
59,91324P102
60,015271109
61,668771108
62,532457108
63,15677J108
64,No best match available
65,45784P101
66,651229106
67,46120E602
68,053484101
69,876030107
70,12504L109
71,172062101
72,81211K100
73,969457100
74,285512109
75,872590104
76,No best match available
77,882508104
78,609207105
79,115236101
80,058498106
81,74251V102
82,49338L103
83,83417M104
84,69331C108
85,751212101
86,46625H100
87,874054109
88,12514G108
89,761152107
90,018802108
91,169656105
92,693718108
93,368736104
94,16119P108
95,74762E102
96,143658300
97,718172109
98,216648402
99,833034101
100,910047109
101,297178105
102,500754106
103,445658107
104,231021106
105,No best match available
106,159864107
107,25754A201
108,40434L105
109,513272104
110,87612E106
111,64110D104
112,674599105
113,45687V106
114,880770102
115,929740108
116,81762P102
117,30161N101
118,11133T103
119,277432100
120,053332102
121,No best match available
122,313745101
123,26441C204
124,49456B101
125,25179M103
126,No best match available
127,92556V106
128,14149Y108
129,02376R102
130,579780206
131,45167R104
132,91913Y100
133,50540R409
134,237194105
135,59522J103
136,478160104
137,03073E105
138,824348106
139,369550108
140,78410G104
141,609839105
142,20825C104
143,68389X105
144,03076C106
145,No best match available
146,217204106
147,883203101
148,00206R102
149,57667L107
150,631103108
151,315616102
152,526057104
153,127387108
154,67066G104
155,95040Q104
156,74340W103
157,778296103
158,58933Y105
159,92939U106
160,55354G100
161,883556102
162,345370860
163,36266G107
164,No best match available
165,459200101
166,46266C105
167,92532F100
168,252131107
169,713448108
170,831865209
171,09247X101
172,446413106
173,126650100
174,701094104
175,655844108
176,594918104
177,443201108
178,071813109
179,444859102
180,05464C101
181,98956P102
182,879360105
183,375558103
184,29414B104
185,200340107
186,666807102
187,723484101
188,115637209
189,244199105
190,427866108
191,37959E102
192,806857108
193,030420103
194,695156109
195,339041105
196,032654105
197,571748102
198,366651107
199,278865100
200,101121101
201,369604301
202,209115104
203,No best match available
204,68902V107
205,949746101
206,22052L104
207,34959J108
208,023608102
209,744320102
210,256746108
211,125269100
212,65339F101
213,302491303
214,452327109
215,482480100
216,031100100
217,670346105
218,25746U109
219,832696405
220,291011104
221,23918K108
222,125896100
223,42824C109
224,770323103
225,075887109
226,00751Y106
227,552953101
228,016255101
229,816851109
230,75886F107
231,294429105
232,902973304
233,22160N109
234,40412C101
235,11135F101
236,235851102
237,65249B109
238,75513E101
239,037833100
240,12572Q105
241,565849106
242,039483102
243,009158106
244,25278X109
245,084423102
246,025816109
247,189054109
248,260003108
249,336433107
250,55261F104
251,31428X106
252,74144T108
253,426281101
254,756109104
255,573284106
256,714046109
257,540424108
258,747525103
259,460690100
260,745867101
261,03662Q105
262,90384S303
263,191216100
264,337738108
265,17275R102
266,98262P101
267,040413106
268,30040W108
269,172908105
270,37940X102
271,760759100
272,58155Q103
273,43300A203
274,64110L106
275,7591EP100
276,931142103
277,031162100
278,49446R109
279,723787107
280,256677105
281,24906P109
282,29476L107
283,911363109
284,893641100
285,15135B101
286,654106103
287,00130H105
288,036752103
289,384802104
290,487836108
291,02079K305
292,37045V100
293,22822V101
294,14040H105
295,776696106
296,172967424
297,679580100
298,00846U101
299,60855R100
300,38141G104
301,59156R108
302,983134107
303,74460D109
304,133131102
305,60770K107
306,68622V106
307,064058100
308,311900104
309,525327102
310,67103H107
311,126408103
312,174610105
313,65473P105
314,02209S103
315,26614N102
316,025537101
317,436440101
318,086516101
319,502431109
320,03743Q108
321,459506101
322,21037T109
323,857477103
324,No best match available
325,337932107
326,693475105
327,92343V104
328,651639106
329,775711104
330,493267108
331,370334104
332,20030N101
333,717081103
334,281020107
335,65249B208
336,595112103
337,911312106
338,902252105
339,907818108
340,060505104
341,143130102
342,92556H206
343,460146103
344,No best match available
345,88579Y101
346,12769G100
347,461202103
348,682680103
349,053015103
350,29444U700
351,171340102
352,592688105
353,49271V100
354,278642103
355,744573106
356,09062X103
357,192446102
358,012653101
359,87612G101
360,No best match available
361,902653104
362,74834L100
363,12503M108
364,29786A106
365,416515104
366,No best match available
367,655663102
368,92345Y106
369,03027X100
370,70450Y103
371,205887102
372,913903100
373,879369106
374,87165B103
375,941848103
376,45337C102
377,512807108
378,45168D104
379,693506107
380,501889208
381,No best match available
382,42809H107
383,26875P101
384,571903202
385,872540109
386,61174X109
387,929160109
388,28176E108
389,020002101
390,110122108
391,032095101
392,438516106
393,372460105
394,608190104
395,595017104
396,149123101
397,742718109
398,98978V103
399,No best match available
400,05722G100
401,001055102
402,134429109
403,69370C100
404,316773100
405,620076307
406,98389B100
407,806407102
408,452308109
409,955306105
410,011659109
411,254709108
412,No best match available
413,56585A102
414,743315103
415,989701107
416,45866F104
417,494368103
418,83088M102
419,518439104
420,88160R101
421,30225T102
422,78409V104
423,00724F101
424,052769106
425,96145D105
426,963320106
427,35137L105
428,No best match available
429,902494103
430,00971T101
431,844741108
432,46187W107
433,892356106
434,No best match available
435,023135106
436,617446448
437,084670702
438,02079K107
439,501044101
440,09857L108
441,21036P108
442,934423104
443,00287Y109
444,858119100
445,57636Q104
446,30231G102
447,854502101
448,303250104
449,440452100
450,458140100
451,896239100
452,931427108
453,681919106
454,219350105
455,79466L302
456,855244109
457,049560105
458,29364G103
459,406216101
460,89832Q109
461,00507V109
462,60871R209
463,002824100
464,92826C839
465,988498101
466,538034109
467,48203R104
468,No best match available
469,34959E109
470,233331107
471,44107P104
472,46284V101
473,42250P103
474,31620M106
475,247361702
