,Instrument,Constituent RIC,Constituent Name
0,.SPX,POOL.OQ,POOL ORD
1,.SPX,CHRW.OQ,CH ROBINSON WW ORD
2,.SPX,AJG.N,ARTHUR J GALLAGHER ORD
3,.SPX,CNP.N,CENTERPOINT ENERGY ORD
4,.SPX,AMCR.N,AMCOR PLC ORD
5,.SPX,WM.N,WASTE MANAGEMENT ORD
6,.SPX,BA.N,BOEING U ORD
7,.SPX,FOX.OQ,FOX CORP CLASS B ORD
8,.SPX,LIN.N,LINDE PLC ORD
9,.SPX,WY.N,WEYERHAEUSER REIT
10,.SPX,MCD.N,MCDONALD'S ORD
11,.SPX,HD.N,HOME DEPOT ORD
12,.SPX,SPG.N,SIMON PROPERTY GROUP REIT
13,.SPX,HBAN.OQ,HUNTINGTON BANCSHARES ORD
14,.SPX,QRVO.OQ,QORVO INC.
15,.SPX,LVS.N,LAS VEGAS SNDS ORD
16,.SPX,CTRA.N,COTERRA ENERGY ORD
17,.SPX,ON.OQ,ON SEMICONDUCTOR ORD
18,.SPX,AIG.N,AMERICAN INTERNATIONAL GROUP ORD
19,.SPX,AIZ.N,ASSURANT ORD
20,.SPX,CARR.N,CARRIER GLOBAL CORP ORD
21,.SPX,EVRG.OQ,EVERGY ORD SHS
22,.SPX,COST.OQ,COSTCO WHOLESALE ORD
23,.SPX,MCO.N,MOODYS ORD
24,.SPX,DIS.N,WALT DISNEY ORD
25,.SPX,PAYX.OQ,PAYCHEX ORD
26,.SPX,AMD.OQ,ADVANCED MICRO DEVICES ORD
27,.SPX,REG.OQ,REGENCY CENTERS REIT
28,.SPX,DHI.N,D R HORTON ORD
29,.SPX,TRV.N,TRAVELERS COS INC/THE ORD
30,.SPX,BIO.N,BIO RAD LABORATORIES CL A ORD
31,.SPX,MOS.N,THE MOSAIC COMPANY ORD
32,.SPX,BWA.N,BORGWARNER ORD
33,.SPX,WDC.OQ,WESTERN DIGITAL ORD
34,.SPX,VTR.N,VENTAS REIT
35,.SPX,IVZ.N,INVESCO ORD
36,.SPX,ZBRA.OQ,ZEBRA TECHS ORD
37,.SPX,AMAT.OQ,APPLIED MATERIAL ORD
38,.SPX,STX.OQ,SEAGATE TECHNOLOGY HOLDINGS PLC ORD
39,.SPX,FDS.N,FACTSET RESEARCH SYSTEMS ORD
40,.SPX,SYK.N,STRYKER ORD
41,.SPX,VRSN.OQ,VERISIGN ORD
42,.SPX,TECH.OQ,BIO-TECHNE CORP
43,.SPX,NVR.N,NVR ORD
44,.SPX,BBWI.N,BATH & BODY WORKS INC ORD
45,.SPX,LOW.N,LOWE'S COS INC ORD
46,.SPX,BSX.N,BOSTON SCIENTIFIC ORD
47,.SPX,SYY.N,SYSCO ORD
48,.SPX,FCX.N,FREEPORT-MCMORAN INC
49,.SPX,MAS.N,MASCO ORD
50,.SPX,BEN.N,FRANKLIN RSC ORD
51,.SPX,META.OQ,META PLATFORMS ORD A
52,.SPX,EXPD.OQ,EXPEDITORS INTERNATIONAL OF WASN ORD
53,.SPX,PAYC.N,PAYCOM SOFTWARE ORD SHS
54,.SPX,EXPE.OQ,EXPEDIA GROUP INC ORD
55,.SPX,RJF.N,RAYMOND JAMES ORD
56,.SPX,CL.N,COLGATE-PALMOLIVE CO ORD
57,.SPX,VICI.N,VICI PROPERTIES INC ORD
58,.SPX,CE.N,CELANESE SR A ORD
59,.SPX,UNH.N,UNITEDHEALTH GRP ORD
60,.SPX,ARE.N,ALEXANDRIA REAL ESTATE EQUITIES REIT
61,.SPX,GEN.OQ,GEN DIGITAL INC ORD
62,.SPX,LLY.N,LILLY ORD
63,.SPX,CDAY.N,CERIDIAN HCM HOLDING INC ORD
64,.SPX,GRMN.N,GARMIN ORD
65,.SPX,PODD.OQ,INSULET ORD
66,.SPX,NWL.OQ,NEWELL BRANDS INC ORD
67,.SPX,ISRG.OQ,INTUITIVE SURGICAL ORD
68,.SPX,AVB.N,AVALONBAY COMMUNITIES REIT
69,.SPX,TPR.N,TAPESTRY INC ORD
70,.SPX,CBRE.N,CBRE GROUP CL A ORD
71,.SPX,CINF.OQ,CINCINNATI FINANCIAL ORD
72,.SPX,SEE.N,SEALED AIR ORD
73,.SPX,WMB.N,WILLIAMS ORD
74,.SPX,EA.OQ,ELECTRONIC ARTS ORD
75,.SPX,TMUS.OQ,T-MOBILE US INC
76,.SPX,CB.N,CHUBB LTD
77,.SPX,TXN.OQ,TEXAS INSTRUMENTS ORD
78,.SPX,MDLZ.OQ,MONDELEZ INTERNATIONAL INC
79,.SPX,BRO.N,BROWN & BROWN ORD
