,0
0,POOL
1,CHRW
2,AJG
3,CNP
4,AMCR
5,WM
6,BA
7,FOX
8,LIN
9,WY
10,MCD
11,HD
12,SPG
13,HBAN
14,QRVO
15,LVS
16,CTRA
17,ON
18,AIG
19,AIZ
20,CARR
21,EVRG
22,COST
23,MCO
24,DIS
25,PAYX
26,AMD
27,REG
28,DHI
29,TRV
30,BIO
31,MOS
32,BWA
33,WDC
34,VTR
35,IVZ
36,ZBRA
37,AMAT
38,STX
39,FDS
40,SYK
41,VRSN
42,TECH
43,NVR
44,BBWI
45,LOW
46,BSX
47,SYY
48,FCX
49,MAS
50,BEN
51,META
52,EXPD
53,PAYC
54,EXPE
55,RJF
56,CL
57,VICI
58,CE
59,UNH
60,ARE
61,GEN
62,LLY
63,CDAY
64,GRMN
65,PODD
66,NWL
67,ISRG
68,AVB
69,TPR
70,CBRE
71,CINF
72,SEE
73,WMB
74,EA
75,TMUS
76,CB
77,TXN
78,MDLZ
79,BRO
80,BALL
81,PFG
82,KEYS
83,SEDG
84,PCG
85,RL
86,JPM
87,TTWO
88,CDW
89,RMD
90,LNT
91,CMG
92,PCAR
93,GNRC
94,CHTR
95,PWR
96,CCL
97,PM
98,COO
99,SNA
100,UAL
101,ESS
102,KHC
103,JBHT
104,CMI
105,PNR
106,CRL
107,DPZ
108,HPQ
109,LW
110,TGT
111,NTAP
112,OXY
113,IR
114,TER
115,WAB
116,NOW
117,EXC
118,BR
119,EMN
120,AZO
121,TEL
122,FRT
123,DUK
124,KMI
125,DVN
126,RCL
127,VTRS
128,CAH
129,AAL
130,MKC
131,IEX
132,VLO
133,LH
134,DRI
135,MAA
136,JNJ
137,ABC
138,SHW
139,GD
140,SBAC
141,MPWR
142,COP
143,ORCL
144,AMP
145,NXPI
146,CPRT
147,TXT
148,T
149,MTCH
150,NDAQ
151,FFIV
152,LEN
153,CDNS
154,NVDA
155,WELL
156,PLD
157,ROST
158,MRK
159,WEC
160,MSCI
161,TMO
162,F
163,GEHC
164,LYB
165,IBM
166,IQV
167,VRTX
168,DXCM
169,PEP
170,AOS
171,BLK
172,HII
173,CVS
174,PH
175,NSC
176,MSFT
177,HWM
178,BAX
179,HUM
180,AXON
181,ZBH
182,TDY
183,GILD
184,EPAM
