,Date,tic,Company Market Cap,pred,Mispricing,Quintile,Next 1M Return,Next 6M Return,Next 12M Return
0,2019-01,EXC,46315065760.08,67109745999.834496,0.4489830662764145,4,0.0173785594639865,-0.054743922494986,0.0011400682996656
1,2019-01,GNRC,3289036218.94,3039448263.1944957,-0.07588483042790642,3,-0.0260358823921975,0.3710902568149115,0.970509957399843
2,2019-01,NUE,18714392840.0,28486893869.65758,0.5221917223394986,5,-0.0116183495531452,-0.1190895888824358,-0.2305551586449438
3,2019-01,FCX,16867045421.4,30893169714.080387,0.8315697232240091,5,0.1082474226804124,-0.0486271099928016,-0.0451324742289579
4,2019-01,VTRS,15443163155.4499,27529938345.311157,0.7826618852754805,5,-0.1183205838154383,-0.3018476046408187,-0.2841130753385528
5,2019-01,TSN,22617357036.48,25536779315.071503,0.12907884302673858,4,-0.0041989664082731,0.281872085108676,0.3336262154812923
6,2019-01,TXT,12932840219.16,19342423644.565193,0.4956052434568392,5,-0.0181649201551303,-0.1227686802167208,-0.1893421726576505
7,2019-01,KMI,39947030994.7,61789936205.649284,0.5467967122224255,5,0.0857291745610422,0.1685389614240231,0.1833126891573384
8,2019-01,VFC,33298110221.48,24868106184.485992,-0.25316764167463074,3,0.0378994891291433,0.0450036177549595,-0.0164624434946577
9,2019-01,ATO,11412690525.99,11913804367.766733,0.043908475449811954,4,0.0124961589675305,0.129322055934919,0.253764564008343
10,2019-01,FIS,34232348654.04,30301767523.38028,-0.11482066773691398,3,0.0202005568635847,1.3858039999721536,1.5792410771640075
11,2019-01,MPWR,5367662720.0,7512135191.294199,0.3995169933654473,4,0.072247840490246,0.1936351768391289,0.3852311551348721
12,2019-01,GPN,17735971338.96,17221445567.818493,-0.02901029559126909,3,0.1585674324124675,0.4833913642004523,2.308479160461973
13,2019-01,MCHP,19045194752.61,17390665792.4731,-0.08687382731595124,3,0.0808759487370909,0.1801003355053607,0.226040056391654
14,2019-01,HOLX,12934375654.8,15218510868.773785,0.17659416078008633,4,0.0619369369369369,0.059149513039393,0.0894939236599665
15,2019-01,LHX,18049165853.58,15705408098.494297,-0.12985407603314958,3,0.0779051373313794,1.5466636651955272,1.7108310245520415
16,2019-01,OKE,26413520438.17,21539302429.620907,-0.1845349626892367,3,0.0013866750263653,0.095681925095366,0.1709021452818786
17,2019-01,CDW,12489231714.63,14793946567.487385,0.18453615927051956,4,0.1055434100382572,0.3691373103863165,0.5007441299927291
18,2019-01,DHR,77744127816.76,68842924088.36902,-0.11449358270981932,3,0.164081738025877,0.296434219405723,0.438853789175635
19,2019-01,HII,8867913583.4,13275878237.225,0.4970689680689205,5,-0.0192982170248422,0.064136981980144,0.2037773120593669
20,2019-01,CTSH,40346671667.12,51783157665.982574,0.28345550020133603,4,0.0117450796509237,-0.1083219898339626,-0.1669798581737858
21,2019-01,AMAT,37102263159.72,53091820338.438324,0.4309590795010412,4,-0.018935516888434,0.2291897865473544,0.4352901690016981
22,2019-01,AMP,17642515809.0,22499779675.275288,0.2753158290382512,4,0.0102334813347821,0.079378166967865,0.1878530690475177
23,2019-01,APTV,20576534970.19,14772499682.668201,-0.28207058651664735,2,0.0416725985435477,0.0913059552340485,0.0519696295299094
24,2019-01,TDG,20662416505.0,15723198720.301094,-0.23904356896027568,3,0.1112991555655364,0.2529138972750564,0.6714507125554625
25,2019-01,TJX,61324313183.0399,57081987177.08126,-0.06917853271827455,3,0.031369394731552,0.0789055413026353,0.1583654530804592
26,2019-01,BLK,65595895164.72,58573486906.44208,-0.1070556052424275,3,0.0677941601618963,0.1020669304368442,0.2447166068832549
27,2019-01,AON,37627075930.22,34064162883.96478,-0.09469013890058053,3,0.0940819414882261,0.1861957333137642,0.3583129300502403
28,2019-01,XYL,12806565723.0,13560383647.556973,0.05886183234925741,4,0.0592384115545916,0.1286817428953899,0.148257926748462
29,2019-01,ETSY,6583141349.95,7104011952.713601,0.0791218925851497,4,0.2944423302067973,0.2263480409791456,-0.1214781903773148
30,2019-01,CTAS,19603025751.45,19365251474.2231,-0.012129468187293192,3,0.1058985212931398,0.3616124763385397,0.4764741160389034
31,2019-01,GM,54997867692.52,139442881478.59714,1.5354234141983312,5,0.0117888262429504,0.0472151063440804,-0.1324322035477857
32,2019-01,BIO,7426444914.87999,19399923655.97621,1.6122759783898177,5,0.0940071523241456,0.2706806857467259,0.4647809966359641
33,2019-01,PARA,18511517493.0,20328087034.725708,0.09813185452854586,4,0.0117675253102493,0.0429132657892739,0.1452363255674018
34,2019-01,ZTS,41395647993.1199,38055494404.07138,-0.08068852043586001,3,0.0898410759978489,0.3261511661400744,0.5442232563462808
35,2019-01,MAS,9544501924.99999,12370558885.8662,0.29609265973993837,4,0.1589015735883998,0.2364313462716403,0.3827826800925511
36,2019-01,REGN,46088931990.45,36899839766.34569,-0.19937741725081337,3,0.0034244181983367,-0.2859669367999454,-0.1932966843066786
37,2019-01,LH,14060415000.0,23273314169.521576,0.6552366462527298,5,0.0395471257427324,0.1735585329451514,0.2112971060953747
38,2019-01,QRVO,8025460608.4,12978589714.876093,0.6171769258068263,5,0.0731334149326805,0.0756314101765944,0.5259403921990597
39,2019-01,TGT,38093853019.0,52209053295.925,0.37053747936405357,4,-0.0126962844834511,0.1620168404682425,0.4731003648161054
40,2019-01,LRCX,25876797929.32,25731022507.584595,-0.005633441283329437,3,0.0383889609623777,0.2086570100411138,0.6773330826037247
41,2019-01,LUV,31916522161.92,40506438560.71797,0.26913698037710104,4,-0.0295721150058794,-0.1321656873928722,-0.1088969955776352
42,2019-01,NFLX,148225223681.5,61469663393.51894,-0.5852955261811422,1,0.0547864506627393,-0.0459364133526338,0.0216060582832482
43,2019-01,MO,92484742313.25,121606470699.43309,0.3148814351187408,4,0.0622175964823499,-0.0492348111064331,-0.0399275512975176
44,2019-01,CRL,5941000730.37,13222445473.1412,1.225625963240324,5,0.1540709473171524,0.1052879724845672,0.273888289458039
45,2019-01,AOS,8133852323.42,12320446472.386002,0.5147123383235566,5,0.0717076202466335,-0.0813534589095873,-0.1499054609645683
46,2019-01,NSC,44862956383.24,41181360416.11628,-0.08206315998602128,3,0.0689161798020747,0.1221351982627474,0.196660698398736
47,2019-01,AES,10855055680.81,12062804944.154198,0.11126145262242233,4,0.051420001502779,0.0268058012529961,0.2147427093783511
48,2019-01,MRK,192120227524.44,313570948281.30054,0.6321599881585115,5,0.092167136907161,0.1060027065371775,0.1279333032584155
49,2019-01,DTE,21421513908.75,19447663778.968395,-0.0921433535552009,3,0.0493418259023354,0.0876674381544486,0.1900299705982608
50,2019-01,STX,12475450609.56,20563755244.141083,0.648337674342839,5,0.0514905149051492,-0.0013074974444209,0.192092015509532
51,2019-01,KR,22600060181.55,32459991388.027935,0.4362789801120655,4,0.035298270384751,-0.2521003244266248,-0.0485080546495612
52,2019-01,VICI,8616919411.23,14196946491.057795,0.6475663533020426,5,0.0009062570864737,0.1416913781831132,0.4338051799693483
53,2019-01,DHI,14358118964.0,18253574463.38582,0.27130681318025457,4,0.0114434330299089,0.1830121286958574,0.5105552792799661
